VIN,ITOT,VOUT,VDROP
1.8,+3.745436E-03,1.29460766,0.505905279
1.775,+3.727055E-03,1.29446698,0.505936995
1.75,+3.709719E-03,1.29399167,0.505929025
1.725,+3.690903E-03,1.29368421,0.505976844
1.7,+3.672596E-03,1.29315968,0.505954522
1.675,+3.654358E-03,1.29288002,0.505945028
1.65,+3.636562E-03,1.29262028,0.505945543
1.625,+3.617943E-03,1.29227117,0.50596195
1.6,+3.599676E-03,1.29198901,0.505939913
1.575,+3.580885E-03,1.29163903,0.50597752
1.55,+3.562408E-03,1.29139725,0.505965433
1.525,+3.543121E-03,1.29121884,0.505948334
1.5,+3.523523E-03,1.29073691,0.505942424
1.475,+3.501912E-03,1.29033662,0.505966606
1.45,+3.479691E-03,1.28976963,0.505942262
1.425,+3.459473E-03,1.28941233,0.505987135
1.4,+3.436591E-03,1.28899128,0.505942073
1.375,+3.411065E-03,1.28845861,0.505937892
1.35,+3.382937E-03,1.28711178,0.505985326
1.325,+3.351978E-03,1.28658792,0.505996987
1.3,+3.320555E-03,1.28569843,0.505948553
1.275,+3.209652E-03,1.26809502,0.505962703
1.25,+3.059181E-03,1.24314332,0.505958514
1.225,+2.913699E-03,1.21823233,0.505914789
1.2,+2.774961E-03,1.19325178,0.505931932
1.175,+2.643658E-03,1.16834058,0.505935538
1.15,+2.519855E-03,1.14339999,0.505961788
1.125,+2.403213E-03,1.11843349,0.505968329
1.1,+2.293033E-03,1.09346437,0.505972791
1.075,+2.187344E-03,1.06850246,0.505955731
1.05,+2.085370E-03,1.04355715,0.50600926
1.025,+1.985510E-03,1.01857567,0.505973578
1.0,+1.887044E-03,0.993642476,0.505986707
