IL,ITOT,VOUT,VDROP
0.0001,+3.143790E-03,1.20013243,-0.0105040036
0.0003,+3.308824E-03,1.200238,-0.0105117984
0.0005,+3.501602E-03,1.20017801,-0.0105373066
0.001,+3.996198E-03,1.1999814,-0.0105837307
0.002,+4.989534E-03,1.19958193,-0.0106805512
0.003,+5.980981E-03,1.19965891,-0.0107873042
0.004,+6.967235E-03,1.19926661,-0.0108642096
0.005,+7.957025E-03,1.19928034,-0.0109670708
0.006,+8.947468E-03,1.19937386,-0.011060069
0.007,+9.935829E-03,1.19936785,-0.0111614402
0.008,+1.049991E-02,1.19823311,-0.0112608237
0.009,+1.049990E-02,1.09004702,-0.0113525765
0.01,+1.049989E-02,0.84535309,-0.0114585262
