IL,ITOT,VOUT,VDROP
0.0001,+3.224849E-03,1.19717103,0.562886714
0.0003,+3.410120E-03,1.19710648,0.51053648
0.0005,+3.604976E-03,1.1971281,0.458181251
0.001,+4.100408E-03,1.19704346,0.327283196
0.002,+5.095385E-03,1.19688088,0.0647360935
0.003,+6.086749E-03,1.19702391,-0.19688099
0.004,+7.074979E-03,1.19693647,-0.457805678
0.005,+8.066908E-03,1.19702726,-0.719575296
0.006,+9.056737E-03,1.19688968,-0.981298851
0.007,+1.004834E-02,1.19702299,-1.2430335
0.008,+1.049986E-02,1.19564596,-1.50459331
0.009,+1.049984E-02,1.03310879,-1.76638753
0.01,+1.049984E-02,0.817696927,-2.02814463
