IL,ITOT,VOUT,VDROP
0.0001,+2.914368E-03,1.26156687,0.613933587
0.0003,+3.079165E-03,1.2622457,0.561302928
0.0005,+3.272057E-03,1.26257728,0.508708882
0.001,+3.763572E-03,1.26249627,0.377183061
0.002,+4.756691E-03,1.26274464,0.113358807
0.003,+5.745290E-03,1.26263115,-0.149583355
0.004,+6.731820E-03,1.2628162,-0.411810285
0.005,+7.721778E-03,1.2630048,-0.674928435
0.006,+8.711358E-03,1.26340314,-0.937683424
0.007,+9.699209E-03,1.26327502,-1.20073538
0.008,+1.049993E-02,1.26563345,-1.46380038
0.009,+1.049992E-02,1.20268457,-1.72684277
0.01,+1.049991E-02,0.905368824,-1.98992661
