IL,ITOT,VOUT,VDROP
0.0001,+2.720815E-03,1.16104157,0.564086305
0.0003,+2.887865E-03,1.161865,0.511488375
0.0005,+3.080425E-03,1.16204579,0.458887713
0.001,+3.574613E-03,1.16224757,0.327297807
0.002,+4.567198E-03,1.16240628,0.0634268997
0.003,+5.555812E-03,1.1624683,-0.199493326
0.004,+6.542246E-03,1.16252933,-0.461676596
0.005,+7.531075E-03,1.16257243,-0.724730327
0.006,+8.520459E-03,1.16265072,-0.987725911
0.007,+9.508575E-03,1.16242995,-1.25079614
0.008,+1.049712E-02,1.16255332,-1.51364194
0.009,+1.049992E-02,1.17483587,-1.77669736
0.01,+1.049990E-02,0.858621908,-2.03977516
