IL,ITOT,VOUT,VDROP,VISET
0.0001,+8.947281E-04,0.697465353,0.663500801,0.6762907352941177
0.0003,+1.091347E-03,0.697002178,0.611677487,0.6234307352941176
0.0005,+1.290467E-03,0.696836644,0.559809798,0.5705707352941176
0.001,+1.785598E-03,0.69713115,0.430199934,0.43842073529411757
0.002,+2.770646E-03,0.696671915,0.170150917,0.17412073529411753
0.003,+3.756129E-03,0.697668328,-0.0890257219,-0.09017926470588244
0.004,+4.737996E-03,0.697815738,-0.347533841,-0.35447926470588254
0.005,+5.719429E-03,0.697686252,-0.606554835,-0.6187792647058825
0.006,+6.701155E-03,0.697790033,-0.86575294,-0.8830792647058825
0.007,+7.684365E-03,0.697969979,-1.12492238,-1.1473792647058825
0.008,+8.666508E-03,0.6979404,-1.38408018,-1.4116792647058827
0.009,+9.649125E-03,0.697989457,-1.64328006,-1.6759792647058827
0.01,+1.049991E-02,0.697675736,-1.90221561,-1.9402792647058826
