VIN,ITOT,VOUT,VDROP
1.8,+3.768831E-03,1.29360666,0.502372521
1.775,+3.751101E-03,1.29317792,0.502385787
1.75,+3.733667E-03,1.29291576,0.502404431
1.725,+3.715058E-03,1.29274347,0.502401963
1.7,+3.698839E-03,1.29239797,0.502413861
1.675,+3.682216E-03,1.29211537,0.502454155
1.65,+3.664011E-03,1.29175642,0.502419951
1.625,+3.645536E-03,1.29153131,0.502435621
1.6,+3.629114E-03,1.29129206,0.502436995
1.575,+3.611007E-03,1.29102517,0.502423298
1.55,+3.592942E-03,1.2906995,0.502447672
1.525,+3.572770E-03,1.29031146,0.502429247
1.5,+3.555734E-03,1.2899746,0.502454978
1.475,+3.537087E-03,1.28979634,0.502465477
1.45,+3.516849E-03,1.28989709,0.502453004
1.425,+3.496179E-03,1.28941122,0.502446652
1.4,+3.474211E-03,1.28901322,0.502454758
1.375,+3.450701E-03,1.28865623,0.502432152
1.35,+3.424928E-03,1.2882481,0.502425094
1.325,+3.398094E-03,1.28746142,0.502447533
1.3,+3.369690E-03,1.28686168,0.502443552
1.275,+3.247899E-03,1.26687572,0.502438179
1.25,+3.096310E-03,1.24194605,0.502419406
1.225,+2.949830E-03,1.2170232,0.502410703
1.2,+2.809341E-03,1.19211258,0.502418406
1.175,+2.676309E-03,1.1671757,0.502433462
1.15,+2.550310E-03,1.14222974,0.502420746
1.125,+2.431219E-03,1.11729956,0.502441746
1.1,+2.317949E-03,1.09235014,0.502452315
1.075,+2.209844E-03,1.06738595,0.502457499
1.05,+2.105728E-03,1.04245538,0.502453649
1.025,+2.003867E-03,1.01748323,0.502461891
1.0,+1.904099E-03,0.992566187,0.502476186
