IL,VOUT
1e-09,1.705109384193376
1.258925411794167e-09,1.705109366556017
1.584893192461114e-09,1.705109344286572
1.9952623149688803e-09,1.705109316252537
2.511886431509581e-09,1.705109280962211
3.1622776601683803e-09,1.705109236538176
3.981071705534974e-09,1.705109180617734
5.0118723362727255e-09,1.705109110227746
6.3095734448019354e-09,1.705109021627328
7.943282347242819e-09,1.705108910110299
1.000000000000001e-08,1.705108769757156
1.2589254117941681e-08,1.705108593123968
1.5848931924611153e-08,1.705108370852496
1.9952623149688813e-08,1.705108091182167
2.511886431509582e-08,1.705107739340116
3.1622776601683825e-08,1.705107296780311
3.9810717055349776e-08,1.705106740236685
5.0118723362727296e-08,1.705106040548463
6.30957344480194e-08,1.705105161208624
7.943282347242826e-08,1.70510405657926
1.000000000000001e-07,1.705102669711663
1.258925411794169e-07,1.705100929705999
1.584893192461116e-07,1.705098748548568
1.995262314968882e-07,1.705096017378548
2.511886431509584e-07,1.705092615472781
3.162277660168384e-07,1.705088359614468
3.981071705534979e-07,1.705083060353021
5.011872336272731e-07,1.705076479771123
6.309573444801943e-07,1.705068335358531
7.943282347242829e-07,1.705058296762915
1.000000000000002e-06,1.705045985162061
1.25892541179417e-06,1.705030976898717
1.584893192461117e-06,1.705012813324223
1.995262314968884e-06,1.704991018815354
2.511886431509586e-06,1.704965128396082
3.162277660168386e-06,1.704934725044547
3.981071705534982e-06,1.704899484481981
5.011872336272735e-06,1.704859222287504
6.309573444801948e-06,1.704813941305079
7.943282347242835e-06,1.704763838256751
1.000000000000003e-05,1.704709332812167
1.258925411794171e-05,1.704651028943232
1.584893192461118e-05,1.704589670670389
1.995262314968885e-05,1.704526078917892
2.511886431509587e-05,1.704461084898599
3.162277660168388e-05,1.704395471487164
3.981071705534984e-05,1.704329930278295
5.011872336272738e-05,1.704265036985576
6.309573444801952e-05,1.704201243494702
7.943282347242841e-05,1.704138882356833
0.0001,1.704078178863773
0.0001258925411794,1.704019266500655
0.0001584893192461,1.703962202791271
0.0001995262314968,1.703906983786721
0.0002511886431509,1.703853556420218
0.0003162277660168,1.703801828590657
0.0003981071705534,1.703751677187156
0.0005011872336272,1.703702954402068
0.0006309573444801,1.703655425745707
0.0007943282347242,1.703609046994233
0.001,1.703563548716887
0.0012589254117941,1.703518722945071
0.0015848931924611,1.703474350318303
0.0019952623149688,1.703430199406321
0.0025118864315095,1.703386024127591
0.0031622776601683,1.703341559580588
0.0039810717055349,1.703296516375705
0.0050118723362727,1.703250573570269
0.0063095734448019,1.7032033700765
0.0079432823472428,1.70315449373889
0.01,1.703103465990675
0.0125892541179417,1.703049717934885
0.0158489319246112,1.702992550335403
0.0199526231496888,1.702931063660497
0.0251188643150959,1.702864030589642
0.0316227766016839,1.702789651371143
0.0398107170553499,1.702705054369664
0.0501187233627274,1.702605203948931
0.0630957344480196,1.702480272044558
0.0794328234724285,1.702308061426633
0.1,1.700497257595592
0.0794328234724285,1.702308061974003
0.0630957344480196,1.702480271980714
0.0501187233627274,1.70260520389635
0.0398107170553499,1.702705055172663
0.0316227766016839,1.702789647980361
0.0251188643150959,1.702864032163824
0.0199526231496888,1.702931066822012
0.0158489319246112,1.702992553972372
0.0125892541179417,1.703049721792724
0.01,1.703103470108886
0.0079432823472428,1.703154498241973
0.0063095734448019,1.703203375100517
0.0050118723362727,1.703250579241661
0.0039810717055349,1.703296522810292
0.0031622776601683,1.703341566888347
0.0025118864315095,1.703386032415697
0.0019952623149688,1.703430208777546
0.0015848931924611,1.703474360864941
0.0012589254117941,1.703518734739794
0.001,1.703563561802241
0.0007943282347242,1.703609061370958
0.0006309573444801,1.703655441696212
0.0005011872336272,1.703702899536353
0.0003981071705534,1.703751618483612
0.0003162277660168,1.70380176619695
0.0002511886431509,1.703853556424965
0.0001995262314968,1.703906983791605
0.0001584893192461,1.703962202796051
0.0001258925411794,1.704019266505126
0.0001,1.704078178867733
7.943282347242841e-05,1.704138882360118
6.309573444801952e-05,1.704201243497203
5.011872336272738e-05,1.704265036987269
3.981071705534984e-05,1.704329930279252
3.162277660168388e-05,1.704395471487535
2.511886431509587e-05,1.704461084898581
1.995262314968885e-05,1.704526078917684
1.584893192461118e-05,1.704589670670142
1.258925411794171e-05,1.70465102894303
1.000000000000003e-05,1.704709332812034
7.943282347242835e-06,1.704763838256679
6.309573444801948e-06,1.704813941305045
5.011872336272735e-06,1.704859220271926
3.981071705534982e-06,1.704899483188187
3.162277660168386e-06,1.704934724273488
2.511886431509586e-06,1.704965127965197
1.995262314968884e-06,1.704991018587762
1.584893192461117e-06,1.705012813209728
1.25892541179417e-06,1.705030976843466
1.000000000000002e-06,1.70504598513632
7.943282347242829e-07,1.705058296751269
6.309573444801943e-07,1.705068335353389
5.011872336272731e-07,1.705076479768898
3.981071705534979e-07,1.705083060352073
3.162277660168384e-07,1.705088359614069
2.511886431509584e-07,1.705092615472616
1.995262314968882e-07,1.705096025880004
1.584893192461116e-07,1.705098745471084
1.258925411794169e-07,1.705100927704958
1.000000000000001e-07,1.70510266843894
7.943282347242826e-08,1.705104055771169
6.30957344480194e-08,1.7051051606962
5.0118723362727296e-08,1.705106040223858
3.9810717055349776e-08,1.705106740031226
3.1622776601683825e-08,1.705107296650349
2.511886431509582e-08,1.705107739257951
1.9952623149688813e-08,1.705108091130242
1.5848931924611153e-08,1.705108370819693
1.2589254117941681e-08,1.705108593103249
1.000000000000001e-08,1.705108769744073
7.943282347242819e-09,1.705108910102038
6.3095734448019354e-09,1.705109021622114
5.0118723362727255e-09,1.705109110224454
