IL,VOUT
1e-09,0.2572156532554463
1.258925411794167e-09,0.2571810649523663
1.584893192461114e-09,0.257137523212093
1.9952623149688803e-09,0.257082710323003
2.511886431509581e-09,0.2570137096043372
3.1622776601683803e-09,0.2569268501855717
3.981071705534974e-09,0.2568175191397374
5.0118723362727255e-09,0.2566798934872379
6.3095734448019354e-09,0.25650666390402
7.943282347242819e-09,0.2562886299234343
1.000000000000001e-08,0.2560142197765518
1.2589254117941681e-08,0.2556688830081036
1.5848931924611153e-08,0.2552343298551783
1.9952623149688813e-08,0.2546875801038842
2.511886431509582e-08,0.2539997758419801
3.1622776601683825e-08,0.2531347021228952
3.9810717055349776e-08,0.2520469458632134
5.0118723362727296e-08,0.2506796013447266
6.30957344480194e-08,0.24896139246471
7.943282347242826e-08,0.2468030135349763
1.000000000000001e-07,0.2440924619429924
1.258925411794169e-07,0.2406892268784361
1.584893192461116e-07,0.2364174280957335
1.995262314968882e-07,0.2310578551028653
2.511886431509584e-07,0.224338477484335
3.162277660168384e-07,0.2159231272496684
3.981071705534979e-07,0.20539953749752
5.011872336272731e-07,0.1922871268683367
6.309573444801943e-07,0.1764313006874232
7.943282347242829e-07,0.1611927473630026
1.000000000000002e-06,0.1513730546693094
1.25892541179417e-06,0.1451278583692143
1.584893192461117e-06,0.1406003286872745
1.995262314968884e-06,0.1370169261802737
2.511886431509586e-06,0.1340257164873849
3.162277660168386e-06,0.1314426734033881
3.981071705534982e-06,0.1291607221398406
5.011872336272735e-06,0.1271124759025526
6.309573444801948e-06,0.1252529861190013
7.943282347242835e-06,0.1235509342834465
1.000000000000003e-05,0.1219837625358642
1.258925411794171e-05,0.1205348050436057
1.584893192461118e-05,0.1191914905189443
1.995262314968885e-05,0.1179441745458361
2.511886431509587e-05,0.1167853366113985
3.162277660168388e-05,0.115709007873391
3.981071705534984e-05,0.1147103453240251
5.011872336272738e-05,0.1137853020202874
6.309573444801952e-05,0.1129303627973676
7.943282347242841e-05,0.1121423274983879
0.0001,0.1114181322175562
0.0001258925411794,0.1107547048182508
0.0001584893192461,0.1101488546762606
0.0001995262314968,0.1095971984078411
0.0002511886431509,0.1090961233299394
0.0003162277660168,0.1086417887255066
0.0003981071705534,0.1082301620841919
0.0005011872336272,0.1078570841154216
