time,IL
0,0.0001
9.999999999999999e-12,0.0001
1.199662358372314e-11,0.000103973280931609
1.598987075116941e-11,0.0001119198427948271
1.902370502012416e-11,0.0001179571729900471
2.316902524665299e-11,0.0001262063602408395
3.07760050885171e-11,0.000141344250126149
4.122442371040087e-11,0.0001621366031836977
5.140411142453283e-11,0.0001823941817348203
6.18833274944405e-11,0.0002032478217139366
7.293295433859438e-11,0.0002252365791338028
8.494585754135468e-11,0.0002491422565072958
9.898029169105129e-11,0.0002770707804651921
1.165062236751232e-10,0.0003119473851134951
1.352652689714436e-10,0.0003492778852531728
1.539508204027048e-10,0.0003864621326013826
1.716825333693285e-10,0.0004217482414049637
1.899564192903573e-10,0.0004581132743878111
2.094617128662216e-10,0.000496928808603781
2.324296363042668e-10,0.000542634976245491
2.57913913238449e-10,0.0005933486873445137
2.803637773775068e-10,0.0006380239169812385
3.032822251148131e-10,0.000683631627978478
3.295908569150981e-10,0.0007359858052610453
3.683032505571181e-10,0.0008130234686086651
4.124719629067357e-10,0.0009009192061844041
4.527857726934292e-10,0.0009811436876599241
5.071792624301811e-10,0.00108938673223606
5.748760020153616e-10,0.00122410324401057
6.337077384165065e-10,0.001341178399448848
7.134792241382856e-10,0.001499923656035188
8.591681787588856e-10,0.001789844675730183
1.000148988206345e-09,0.002070396486530627
1.14914814619828e-09,0.002366904810934577
1.316210313761864e-09,0.00269935852438611
1.505194497853217e-09,0.003075437050727903
1.724450896226501e-09,0.003511757283490737
2.004192044352586e-09,0.004068442168261647
2.402252491850864e-09,0.004860582458783218
2.535590054208769e-09,0.00512592420787545
2.802265178924578e-09,0.005656607706059911
3.240099513816465e-09,0.006527898032494765
3.564818211196733e-09,0.007174088240281498
3.877731242975682e-09,0.007796785173521608
4.185099439227798e-09,0.008408447884063319
4.479773849685382e-09,0.008994849960873911
4.778324402268304e-09,0.009588965560513925
5.092975498281439e-09,0.01021512124158006
5.396286893489771e-09,0.01081871091804464
5.6852791244401e-09,0.0113938054576358
5.967422356034847e-09,0.01195527048850935
6.249290328974082e-09,0.01251618775465842
6.536774092239982e-09,0.01308828044355757
6.830774845302081e-09,0.01367334194215114
7.130396033055206e-09,0.01426958810577986
7.436401088279355e-09,0.01487853816567592
7.727283123033183e-09,0.01545739341483603
8.016598137897123e-09,0.01603313029441528
8.317480144018177e-09,0.01663188548659617
8.622354878478948e-09,0.01723858620817311
8.899166363872193e-09,0.01778944106410566
9.154707492405823e-09,0.01829796790988759
9.397124217227609e-09,0.01878037719228294
9.63022690226407e-09,0.0192442515355055
9.857939089175362e-09,0.01969739878745897
1.001e-08,0.02
1.002340753663352e-08,0.02
1.003663236717465e-08,0.02
1.005070720805509e-08,0.02
1.00718048266654e-08,0.02
1.008873113138522e-08,0.02
1.010516413945406e-08,0.02
1.012359037699579e-08,0.02
1.014544892208668e-08,0.02
1.017452188124304e-08,0.02
1.021949198536406e-08,0.02
1.028334937381851e-08,0.02
1.037691974663806e-08,0.02
1.05362381378438e-08,0.02
1.070860786145635e-08,0.02
1.088834809163936e-08,0.02
1.107675723605942e-08,0.02
1.12716168761356e-08,0.02
1.146005874423252e-08,0.02
1.164027584165163e-08,0.02
1.18263103006111e-08,0.02
1.202972003930935e-08,0.02
1.22433735747367e-08,0.02
1.246846879083386e-08,0.02
1.271461325523848e-08,0.02
1.298381121333112e-08,0.02
1.324932974191232e-08,0.02
1.350908001698189e-08,0.02
1.376157837141895e-08,0.02
1.400524815844075e-08,0.02
1.424142034578599e-08,0.02
1.447258728189373e-08,0.02
1.470224275625448e-08,0.02
1.493523602976265e-08,0.02
1.517767126160474e-08,0.02
1.544108633784008e-08,0.02
1.568793338495329e-08,0.02
1.592407722500523e-08,0.02
1.616267179502336e-08,0.02
1.639439519259678e-08,0.02
1.662797229030252e-08,0.02
1.687620428284277e-08,0.02
1.714850989985291e-08,0.02
1.744331209694599e-08,0.02
1.774737239450951e-08,0.02
1.807260133566445e-08,0.02
1.845229756560677e-08,0.02
1.886174535660295e-08,0.02
1.929716694346006e-08,0.02
1.978180474021378e-08,0.02
2.032213654059616e-08,0.02
2.090930421321254e-08,0.02
2.154475517067521e-08,0.02
2.225306480463579e-08,0.02
2.296870726426476e-08,0.02
2.374220084486961e-08,0.02
2.466148130869048e-08,0.02
2.565362611481903e-08,0.02
2.668512675719045e-08,0.02
2.789511771355927e-08,0.02
2.932863514209028e-08,0.02
3.110473304212134e-08,0.02
3.316971096716801e-08,0.02
3.563012632896736e-08,0.02
3.872644119836124e-08,0.02
4.31338183364628e-08,0.02
4.876466943443805e-08,0.02
5.647451419165602e-08,0.02
6.716399048642516e-08,0.02
7.549028779041359e-08,0.02
8.776695636855001e-08,0.02
9.961677923803954e-08,0.02
1.125769612124957e-07,0.02
1.289758471615617e-07,0.02
1.502542674282441e-07,0.02
1.788167437433165e-07,0.02
2.167477459505745e-07,0.02
2.70231505456033e-07,0.02
3.523116994847395e-07,0.02
4.415620903343022e-07,0.02
5.3793331457079e-07,0.02
6.3793331457079e-07,0.02
7.3793331457079e-07,0.02
8.3793331457079e-07,0.02
9.3793331457079e-07,0.02
1.03793331457079e-06,0.02
1.13793331457079e-06,0.02
1.188971657285395e-06,0.02
1.24001e-06,0.02
1.2400490625e-06,0.01992226562500004
1.240096699087188e-06,0.01982746881649588
1.240118770733885e-06,0.01978354623956955
1.240144987773062e-06,0.01973137433160755
1.240169740303822e-06,0.01968211679539482
1.240197299193688e-06,0.01962727460456161
1.240235210113108e-06,0.01955183187491613
1.240302222375994e-06,0.01941847747177219
