IL,ITOT,VOUT,VDROP
0.0001,+4.181704E-03,1.69421922,-0.0104890284
0.0003,+4.338368E-03,1.69409852,-0.0105041204
0.0005,+4.528516E-03,1.69421817,-0.0105212056
0.001,+5.020788E-03,1.69410225,-0.0105594067
0.002,+6.009981E-03,1.69406526,-0.0106138868
0.003,+7.001654E-03,1.69401346,-0.0106792752
0.004,+7.990206E-03,1.69408333,-0.0107491364
0.005,+8.975615E-03,1.6941838,-0.0108061351
0.006,+9.965266E-03,1.69413332,-0.0108731275
0.007,+1.049991E-02,1.66425397,-0.0109477173
0.008,+1.049990E-02,1.50558332,-0.0109972492
0.009,+1.049990E-02,1.31912861,-0.0110591905
0.01,+1.049990E-02,1.09083318,-0.0111349006
