IL,ITOT,VOUT,VDROP
0.0001,+2.529120E-03,0.899930489,0.42481429
0.0003,+2.722947E-03,0.899945239,0.372992044
0.0005,+2.916508E-03,0.899980188,0.321209289
0.001,+3.405232E-03,0.899785374,0.190942084
0.002,+4.378033E-03,0.899860208,-0.0679186762
0.003,+5.347001E-03,0.899946334,-0.326188353
0.004,+6.319290E-03,0.900041308,-0.584907478
0.005,+7.291943E-03,0.89991499,-0.843796854
0.006,+8.263689E-03,0.899859791,-1.1026906
0.007,+9.236803E-03,0.900029743,-1.36151182
0.008,+1.020955E-02,0.899894879,-1.62033201
0.009,+1.049994E-02,0.896010796,-1.87889258
0.01,+1.049993E-02,0.692278566,-2.13760044
