IL,ITOT,VOUT,VDROP
5e-05,+2.830893E-04,1.98928289,1.97215476
0.0001,+3.327540E-04,1.98927419,1.95565842
0.0003,+5.310681E-04,1.9891695,1.88996674
0.0005,+7.296043E-04,1.98911752,1.82427857
0.001,+1.225808E-03,1.98904381,1.65988003
0.002,+2.219136E-03,1.98898271,1.33114276
0.003,+3.211587E-03,1.98896029,1.00262332
0.004,+4.204642E-03,1.9889105,0.673918239
0.005,+5.197422E-03,1.98887539,0.345219877
0.006,+6.192019E-03,1.98888279,0.0159428873
0.007,+7.182544E-03,1.9888908,-0.311924621
0.008,+8.174885E-03,1.98887557,-0.64043019
0.009,+9.167024E-03,1.98885267,-0.968982504
0.01,+1.015977E-02,1.98885083,-1.29764091
