IL,ITOT,VOUT,VDROP
0.0001,+3.189937E-03,1.38997073,0.666047668
0.0003,+3.379125E-03,1.39004914,0.613489787
0.0005,+3.576853E-03,1.39014039,0.56089031
0.001,+4.074730E-03,1.39020968,0.429426045
0.002,+5.074481E-03,1.38992288,0.165617839
0.003,+6.071874E-03,1.38993736,-0.0972505668
0.004,+7.065491E-03,1.3900605,-0.359354854
0.005,+8.061137E-03,1.39022275,-0.62203674
0.006,+9.058849E-03,1.39013159,-0.884817552
0.007,+1.005537E-02,1.39042071,-1.14763684
0.008,+1.050002E-02,1.38991322,-1.41042962
0.009,+1.050002E-02,1.14507474,-1.67323756
0.01,+1.050001E-02,0.906084439,-1.93578859
