IL,ITOT,VOUT,VDROP
0.0001,+4.107393E-03,1.69340107,0.807038389
0.0003,+4.302301E-03,1.69303178,0.755300129
0.0005,+4.496682E-03,1.69330967,0.703527699
0.001,+4.988041E-03,1.69336826,0.574184375
0.002,+5.970357E-03,1.69328843,0.315490702
0.003,+6.956143E-03,1.69365794,0.0560708482
0.004,+7.937764E-03,1.69365284,-0.202464508
0.005,+8.915877E-03,1.69358939,-0.460357693
0.006,+9.900961E-03,1.69367458,-0.719042632
0.007,+1.049989E-02,1.66097016,-0.977678828
0.008,+1.049988E-02,1.50176846,-1.23631772
0.009,+1.049989E-02,1.30529109,-1.49473621
0.01,+1.049988E-02,1.06605474,-1.75338605
