IL,ITOT,VOUT,VDROP
0.0001,+2.765565E-03,0.994257025,0.463119509
0.0003,+2.960920E-03,0.994093944,0.411398033
0.0005,+3.158131E-03,0.994149792,0.35963258
0.001,+3.651018E-03,0.994059212,0.229574014
0.002,+4.634633E-03,0.994356113,-0.0290356642
0.003,+5.613386E-03,0.994154504,-0.286841901
0.004,+6.596378E-03,0.994332988,-0.545475123
0.005,+7.577477E-03,0.994355408,-0.804140774
0.006,+8.559520E-03,0.994607919,-1.06277456
0.007,+9.540448E-03,0.994163107,-1.32117667
0.008,+1.049990E-02,0.994283311,-1.5797982
0.009,+1.049989E-02,0.990492565,-1.83843016
0.01,+1.049988E-02,0.727909314,-2.09703267
