VIN,ITOT,VOUT,VDROP
1.8,+6.120298E-03,1.201187,-0.010739682
1.775,+6.052086E-03,1.20095276,-0.0107509406
1.75,+6.028746E-03,1.20065582,-0.0107576206
1.725,+6.010730E-03,1.20037225,-0.0107527447
1.7,+5.994023E-03,1.20007548,-0.0107529449
1.675,+5.977884E-03,1.19958478,-0.0107566199
1.65,+5.964115E-03,1.19975451,-0.0107567644
1.625,+5.947653E-03,1.19942255,-0.0107544821
1.6,+5.932468E-03,1.19918379,-0.0107501483
1.575,+5.917757E-03,1.19892647,-0.0107497925
1.55,+5.902830E-03,1.19876853,-0.01074361
1.525,+5.888777E-03,1.19893007,-0.0107469903
1.5,+5.874068E-03,1.19860364,-0.0107495951
1.475,+5.859467E-03,1.19845438,-0.0107499732
1.45,+5.843383E-03,1.19830732,-0.0107533785
1.425,+5.828402E-03,1.1981755,-0.0107517439
1.4,+5.814067E-03,1.19817832,-0.0107588938
1.375,+5.798083E-03,1.19814678,-0.0107566838
1.35,+5.783553E-03,1.19809589,-0.0107513909
1.325,+5.768301E-03,1.19813761,-0.0107470904
1.3,+5.752115E-03,1.19799333,-0.0107506959
1.275,+5.734579E-03,1.19771505,-0.0107571731
1.25,+5.718004E-03,1.19772199,-0.0107510907
1.225,+5.701824E-03,1.19736582,-0.010754054
1.2,+5.614594E-03,1.1819746,-0.0107394541
1.175,+5.473724E-03,1.15716353,-0.0107350452
1.15,+5.335086E-03,1.13227294,-0.0107488584
1.125,+5.198831E-03,1.10733328,-0.0107444245
1.1,+5.066042E-03,1.08240229,-0.010741122
1.075,+4.936903E-03,1.05742075,-0.0107450639
1.05,+4.811903E-03,1.03246301,-0.0107483275
1.025,+4.690757E-03,1.00746823,-0.0107437712
1.0,+4.573540E-03,0.982487733,-0.0107366575
