IL,ITOT,VOUT,VDROP
5e-05,+2.927848E-04,1.9893595,1.96995705
0.0001,+3.415410E-04,1.98931394,1.95344445
0.0003,+5.398752E-04,1.98924316,1.88781606
0.0005,+7.376392E-04,1.98918143,1.82219498
0.001,+1.233453E-03,1.98908691,1.65794111
0.002,+2.225049E-03,1.98900725,1.3295186
0.003,+3.216105E-03,1.98896822,1.00132292
0.004,+4.207566E-03,1.98891813,0.672890541
0.005,+5.198919E-03,1.98889796,0.344498175
0.006,+6.192219E-03,1.98884938,0.0155217602
0.007,+7.181099E-03,1.98884812,-0.312028931
0.008,+8.172011E-03,1.98881623,-0.640238058
0.009,+9.162639E-03,1.98875919,-0.968452597
0.01,+1.015381E-02,1.98876391,-1.29683597
