VIN,ITOT,VOUT,VDROP
1.8,+3.295595E-03,1.44694196,0.650179982
1.775,+3.250054E-03,1.44670736,0.650187761
1.75,+3.209414E-03,1.44656071,0.650171811
1.725,+3.174010E-03,1.44634765,0.650190542
1.7,+3.144516E-03,1.44616399,0.650180574
1.675,+3.120403E-03,1.44607725,0.650188737
1.65,+3.102082E-03,1.4459937,0.650174349
1.625,+3.088621E-03,1.44594743,0.650179451
1.6,+3.078896E-03,1.4458834,0.650175613
1.575,+3.072188E-03,1.44583335,0.650152667
1.55,+3.066831E-03,1.44578792,0.650176537
1.525,+3.063289E-03,1.44571291,0.6501497
1.5,+3.059766E-03,1.44561237,0.650187083
1.475,+3.056265E-03,1.44529108,0.650168852
1.45,+3.024726E-03,1.43736947,0.6501785
1.425,+2.929184E-03,1.41256459,0.65018588
1.4,+2.833638E-03,1.38766411,0.650181547
1.375,+2.738360E-03,1.36279181,0.650192885
1.35,+2.642732E-03,1.33787951,0.650176799
1.325,+2.547482E-03,1.31301231,0.65018624
1.3,+2.452111E-03,1.28810238,0.650134754
1.275,+2.356772E-03,1.26321579,0.65013692
1.25,+2.261339E-03,1.23833195,0.650144936
1.225,+2.166095E-03,1.2134663,0.65015882
1.2,+2.070852E-03,1.18859838,0.650148036
1.175,+1.975641E-03,1.16369557,0.650168695
1.15,+1.880365E-03,1.13882733,0.650148188
1.125,+1.785148E-03,1.11393542,0.65018491
1.1,+1.689866E-03,1.08906215,0.650177062
1.075,+1.594596E-03,1.06416029,0.650164096
1.05,+1.499448E-03,1.03930357,0.650153591
1.025,+1.404214E-03,1.01439193,0.650162274
1.0,+1.309135E-03,0.989558871,0.650127938
