IL,ITOT,VOUT,VDROP
0.0001,+3.191517E-03,1.19640893,0.56284851
0.0003,+3.374648E-03,1.19632028,0.510470379
0.0005,+3.569686E-03,1.19640064,0.458141921
0.001,+4.064880E-03,1.1962773,0.327213148
0.002,+5.059842E-03,1.19626383,0.0647550495
0.003,+6.049542E-03,1.19606736,-0.196801116
0.004,+7.038446E-03,1.19621658,-0.457649312
0.005,+8.029122E-03,1.19620582,-0.719395129
0.006,+9.020257E-03,1.19626067,-0.981085086
0.007,+1.001045E-02,1.19623817,-1.24276448
0.008,+1.049988E-02,1.19500061,-1.50427288
0.009,+1.049986E-02,1.03565661,-1.76598598
0.01,+1.049986E-02,0.81772964,-2.02772633
