IL,ITOT,VOUT,VDROP,VISET
0.0001,+9.228213E-04,1.5060157,1.46872348,1.4794001470588236
0.0003,+1.118635E-03,1.50596295,1.41656923,1.4265401470588235
0.0005,+1.311686E-03,1.50567896,1.36450787,1.3736801470588236
0.001,+1.796773E-03,1.50592275,1.23467393,1.2415301470588234
0.002,+2.764603E-03,1.5058766,0.974433738,0.9772301470588235
0.003,+3.732160E-03,1.50604583,0.714326822,0.7129301470588235
0.004,+4.698772E-03,1.50601353,0.454305614,0.4486301470588234
0.005,+5.665961E-03,1.50592989,0.193761971,0.18433014705882345
0.006,+6.631187E-03,1.50608424,-0.0660524192,-0.07996985294117676
0.007,+7.595071E-03,1.50612374,-0.325241848,-0.34426985294117673
0.008,+8.561940E-03,1.50603603,-0.585259027,-0.6085698529411765
0.009,+9.530107E-03,1.50611826,-0.84511141,-0.8728698529411765
0.01,+1.049870E-02,1.50609762,-1.10503116,-1.137169852941177
