V Input,V Output
0.0,1.16092879
0.01,1.16049247
0.02,1.16019725
0.03,1.16001517
0.04,1.1595627
0.05,1.15944878
0.06,1.15934829
0.07,1.15914175
0.08,1.15897819
0.09,1.15886427
0.1,1.15863687
0.11,1.15834953
0.12,1.15796052
0.13,1.1575719
0.14,1.15709973
0.15,1.15660546
0.16,1.15604777
0.17,1.15553853
0.18,1.15506045
0.19,1.15463161
0.2,1.15412199
0.21,1.1537393
0.22,1.15343896
0.23,1.15301605
0.24,1.15251549
0.25,1.15210124
0.26,1.15173509
0.27,1.15100081
0.28,1.15039146
0.29,1.14958624
0.3,1.148863
0.31,1.14778541
0.32,1.14677878
0.33,1.1458833
0.34,1.14489677
0.35000000000000003,1.14370331
0.36,1.14285237
0.37,1.14192181
0.38,1.14096642
0.39,1.13966417
0.4,1.13855664
0.41000000000000003,1.13732103
0.42,1.1358485
0.43,1.13408396
0.44,1.13215741
0.45,1.13012245
0.46,1.1276374
0.47000000000000003,1.12487173
0.48,1.12202052
0.49,1.11895964
0.5,1.11540175
0.51,1.11183399
0.52,1.10778382
0.53,1.10353067
0.54,1.09835639
0.55,1.09277144
0.56,1.08644235
0.5700000000000001,1.07865692
0.58,1.06937376
0.59,1.05879506
0.6,1.04535609
0.61,1.03101691
0.62,1.01295311
0.63,0.994141231
0.64,0.972721325
0.65,0.951444111
0.66,0.926923914
0.67,0.90318845
0.68,0.877499638
0.6900000000000001,0.853026723
0.7000000000000001,0.823681866
0.71,0.796777924
0.72,0.769615014
0.73,0.740593742
0.74,0.710153583
0.75,0.682851937
0.76,0.653690757
0.77,0.625188975
0.78,0.595677777
0.79,0.567952838
0.8,0.540052497
0.81,0.51249271
0.8200000000000001,0.487343851
0.8300000000000001,0.462247036
0.84,0.439230097
0.85,0.41652726
0.86,0.396229879
0.87,0.376550891
0.88,0.359515019
0.89,0.340989673
0.9,0.324686107
0.91,0.310017816
0.92,0.295273467
0.93,0.280734449
0.9400000000000001,0.266458334
0.9500000000000001,0.25126466
0.96,0.235996484
0.97,0.217227567
0.98,0.196958157
0.99,0.171021033
1.0,0.143915678
1.01,0.1186411
1.02,0.0962922165
1.03,0.0773144175
1.04,0.0600085403
1.05,0.0455329877
1.06,0.0300839183
1.07,0.0215590811
1.08,0.0139616496
1.09,0.00866322812
1.1,0.00590898115
1.11,0.00557948434
1.12,0.00635632816
1.1300000000000001,0.0103950828
1.1400000000000001,0.0102346729
1.1500000000000001,0.011595623
1.16,0.0122778833
1.17,0.0118829632
1.18,0.0107222184
1.19,0.007794546
1.2,0.00299394035
