IL,ITOT,VOUT,VDROP
0.0001,+2.659100E-03,0.901742772,0.414489476
0.0003,+2.831360E-03,0.901640605,0.361872301
0.0005,+3.027115E-03,0.901541376,0.309191416
0.001,+3.529758E-03,0.901137077,0.176829298
0.002,+4.525447E-03,0.900899159,-0.086218725
0.003,+5.517821E-03,0.900637368,-0.348637802
0.004,+6.510779E-03,0.900509549,-0.611542203
0.005,+7.502578E-03,0.900265356,-0.874636231
0.006,+8.494535E-03,0.900167133,-1.13775617
0.007,+9.486217E-03,0.900123611,-1.40088383
0.008,+1.047678E-02,0.899914761,-1.66401542
0.009,+1.049986E-02,0.897596124,-1.92691277
0.01,+1.049984E-02,0.371979128,-2.18995583
