IL,ITOT,VOUT,VDROP
0.0001,+4.140456E-03,1.69212024,0.808942703
0.0003,+4.327050E-03,1.69227225,0.756781548
0.0005,+4.523657E-03,1.69230162,0.704623667
0.001,+5.017483E-03,1.69234406,0.574248377
0.002,+6.006975E-03,1.69234407,0.313459378
0.003,+7.000861E-03,1.69260245,0.051914616
0.004,+7.989626E-03,1.69271737,-0.208665418
0.005,+8.975847E-03,1.69284193,-0.468557456
0.006,+9.965115E-03,1.69290919,-0.729282247
0.007,+1.049992E-02,1.65230227,-0.989973767
0.008,+1.049991E-02,1.49256673,-1.25068164
0.009,+1.049990E-02,1.29689282,-1.51121094
0.01,+1.049990E-02,1.05983769,-1.77194112
