IL,ITOT,VOUT,VDROP
0.0001,+4.169550E-03,1.69883093,0.81444279
0.0003,+4.333906E-03,1.69908561,0.761818956
0.0005,+4.525172E-03,1.69902542,0.709195618
0.001,+5.018763E-03,1.69902617,0.577626245
0.002,+6.010200E-03,1.69886472,0.314415594
0.003,+7.004588E-03,1.69881325,0.0505189846
0.004,+7.996194E-03,1.69893109,-0.21248658
0.005,+8.984862E-03,1.69890542,-0.47478371
0.006,+9.976229E-03,1.69883509,-0.737918023
0.007,+1.049988E-02,1.66166633,-1.00102862
0.008,+1.049988E-02,1.5017332,-1.26414242
0.009,+1.049988E-02,1.31042503,-1.52706487
0.01,+1.049987E-02,1.07768781,-1.79020436
