IL,ITOT,VOUT,VDROP
0.0001,+3.150157E-03,1.19368463,0.561413098
0.0003,+3.343596E-03,1.19349317,0.509671886
0.0005,+3.540922E-03,1.19340087,0.457901453
0.001,+4.031648E-03,1.1933779,0.328565442
0.002,+5.016270E-03,1.19338769,0.0691530063
0.003,+5.997423E-03,1.19353481,-0.189373378
0.004,+6.978164E-03,1.19371514,-0.447270149
0.005,+7.960325E-03,1.1938997,-0.705929261
0.006,+8.941471E-03,1.19404316,-0.96453381
0.007,+9.923192E-03,1.19362445,-1.22317051
0.008,+1.049990E-02,1.19206428,-1.48157052
0.009,+1.049989E-02,1.05649945,-1.74020831
0.01,+1.049988E-02,0.826236899,-1.99882099
