IL,ITOT,VOUT,VDROP
0.0001,+3.916723E-03,1.59362604,0.757751938
0.0003,+4.113336E-03,1.59392834,0.706016397
0.0005,+4.309288E-03,1.59380833,0.654282502
0.001,+4.801131E-03,1.59379033,0.524920258
0.002,+5.781978E-03,1.59394304,0.266444998
0.003,+6.766224E-03,1.59359458,0.00695897863
0.004,+7.748033E-03,1.59383205,-0.251556342
0.005,+8.727060E-03,1.59371573,-0.50960471
0.006,+9.707997E-03,1.59367134,-0.768063385
0.007,+1.049990E-02,1.59329208,-1.02670644
0.008,+1.049989E-02,1.44319792,-1.28535602
0.009,+1.049989E-02,1.25294619,-1.5439891
0.01,+1.049988E-02,1.01853766,-1.80262571
