IL,ITOT,VOUT,VDROP,VISET
0.0001,+8.934369E-04,1.19829725,1.16472396,1.1782341176470588
0.0003,+1.090325E-03,1.19819561,1.11275507,1.1253741176470589
0.0005,+1.287069E-03,1.19813664,1.06075067,1.0725141176470587
0.001,+1.775315E-03,1.19815614,0.93098861,0.9403641176470587
0.002,+2.751267E-03,1.19823342,0.671676174,0.6760641176470588
0.003,+3.725193E-03,1.19816833,0.412157019,0.41176411764705867
0.004,+4.702254E-03,1.19831705,0.151857703,0.1474641176470588
0.005,+5.676835E-03,1.19829122,-0.107588948,-0.1168358823529414
0.006,+6.647919E-03,1.19833895,-0.366471835,-0.3811358823529414
0.007,+7.621740E-03,1.19840477,-0.625781765,-0.6454358823529414
0.008,+8.596569E-03,1.19834022,-0.885179562,-0.9097358823529411
0.009,+9.571272E-03,1.19845675,-1.14462071,-1.174035882352941
0.01,+1.049993E-02,1.19813899,-1.40402545,-1.438335882352941
