IL,ITOT,VOUT,VDROP,VISET
0.0001,+8.970706E-04,1.3974304,1.36199371,1.3790114705882353
0.0003,+1.093114E-03,1.3975057,1.30997713,1.3261514705882351
0.0005,+1.289142E-03,1.39752466,1.25800719,1.2732914705882352
0.001,+1.777599E-03,1.397286,1.12821486,1.1411414705882352
0.002,+2.753469E-03,1.39745807,0.868577344,0.8768414705882351
0.003,+3.729946E-03,1.39790962,0.608973993,0.6125414705882352
0.004,+4.704264E-03,1.39790717,0.349538096,0.34824147058823507
0.005,+5.681224E-03,1.39786911,0.0894206871,0.08394147058823509
0.006,+6.654189E-03,1.39805526,-0.169930031,-0.1803585294117649
0.007,+7.626394E-03,1.39800011,-0.428748028,-0.44465852941176487
0.008,+8.601921E-03,1.39813523,-0.688279533,-0.7089585294117651
0.009,+9.575209E-03,1.39813875,-0.947433262,-0.9732585294117646
0.01,+1.049994E-02,1.39784904,-1.20680987,-1.237558529411765
