"ILOAD_TRAN (Temp=0,VREF_TRAN=0.05) X","ILOAD_TRAN (Temp=0,VREF_TRAN=0.05) Y","ILOAD_TRAN (Temp=0,VREF_TRAN=0.25) X","ILOAD_TRAN (Temp=0,VREF_TRAN=0.25) Y","ILOAD_TRAN (Temp=0,VREF_TRAN=0.45) X","ILOAD_TRAN (Temp=0,VREF_TRAN=0.45) Y","ILOAD_TRAN (Temp=0,VREF_TRAN=0.65) X","ILOAD_TRAN (Temp=0,VREF_TRAN=0.65) Y","ILOAD_TRAN (Temp=0,VREF_TRAN=0.85) X","ILOAD_TRAN (Temp=0,VREF_TRAN=0.85) Y","ILOAD_TRAN (Temp=27,VREF_TRAN=0.05) X","ILOAD_TRAN (Temp=27,VREF_TRAN=0.05) Y","ILOAD_TRAN (Temp=27,VREF_TRAN=0.25) X","ILOAD_TRAN (Temp=27,VREF_TRAN=0.25) Y","ILOAD_TRAN (Temp=27,VREF_TRAN=0.45) X","ILOAD_TRAN (Temp=27,VREF_TRAN=0.45) Y","ILOAD_TRAN (Temp=27,VREF_TRAN=0.65) X","ILOAD_TRAN (Temp=27,VREF_TRAN=0.65) Y","ILOAD_TRAN (Temp=27,VREF_TRAN=0.85) X","ILOAD_TRAN (Temp=27,VREF_TRAN=0.85) Y","ILOAD_TRAN (Temp=125,VREF_TRAN=0.05) X","ILOAD_TRAN (Temp=125,VREF_TRAN=0.05) Y","ILOAD_TRAN (Temp=125,VREF_TRAN=0.25) X","ILOAD_TRAN (Temp=125,VREF_TRAN=0.25) Y","ILOAD_TRAN (Temp=125,VREF_TRAN=0.45) X","ILOAD_TRAN (Temp=125,VREF_TRAN=0.45) Y","ILOAD_TRAN (Temp=125,VREF_TRAN=0.65) X","ILOAD_TRAN (Temp=125,VREF_TRAN=0.65) Y","ILOAD_TRAN (Temp=125,VREF_TRAN=0.85) X","ILOAD_TRAN (Temp=125,VREF_TRAN=0.85) Y","ILOAD_TRAN (Temp=-55,VREF_TRAN=0.05) X","ILOAD_TRAN (Temp=-55,VREF_TRAN=0.05) Y","ILOAD_TRAN (Temp=-55,VREF_TRAN=0.25) X","ILOAD_TRAN (Temp=-55,VREF_TRAN=0.25) Y","ILOAD_TRAN (Temp=-55,VREF_TRAN=0.45) X","ILOAD_TRAN (Temp=-55,VREF_TRAN=0.45) Y","ILOAD_TRAN (Temp=-55,VREF_TRAN=0.65) X","ILOAD_TRAN (Temp=-55,VREF_TRAN=0.65) Y","ILOAD_TRAN (Temp=-55,VREF_TRAN=0.85) X","ILOAD_TRAN (Temp=-55,VREF_TRAN=0.85) Y","ILOAD_TRAN (Temp=-100,VREF_TRAN=0.05) X","ILOAD_TRAN (Temp=-100,VREF_TRAN=0.05) Y","ILOAD_TRAN (Temp=-100,VREF_TRAN=0.25) X","ILOAD_TRAN (Temp=-100,VREF_TRAN=0.25) Y","ILOAD_TRAN (Temp=-100,VREF_TRAN=0.45) X","ILOAD_TRAN (Temp=-100,VREF_TRAN=0.45) Y","ILOAD_TRAN (Temp=-100,VREF_TRAN=0.65) X","ILOAD_TRAN (Temp=-100,VREF_TRAN=0.65) Y","ILOAD_TRAN (Temp=-100,VREF_TRAN=0.85) X","ILOAD_TRAN (Temp=-100,VREF_TRAN=0.85) Y"
0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001
9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001
1.189043126726295e-11,0.0001037619582218533,1.189110858736586e-11,0.0001037633060888581,1.189199105872178e-11,0.0001037650622068564,1.189333520985635e-11,0.0001037677370676141,1.189523009275888e-11,0.0001037715078845902,1.190765961859843e-11,0.0001037962426410109,1.190834967332694e-11,0.0001037976158499206,1.190923847074887e-11,0.0001037993845567903,1.191056212160325e-11,0.0001038020186219905,1.191246892196334e-11,0.000103805813154707,1.196412232357361e-11,0.0001039086034239115,1.196486660282471e-11,0.0001039100845396212,1.196582483019637e-11,0.0001039119914120908,1.196716398954154e-11,0.0001039146563391877,1.196913830558092e-11,0.000103918585228106,1.185404912568816e-11,0.0001036895577601194,1.185472311142619e-11,0.0001036908989917381,1.18555992075308e-11,0.0001036926424229863,1.185699310270784e-11,0.0001036954162743886,1.185883464458098e-11,0.0001036990809427162,1.182368482134907e-11,0.0001036291327944847,1.182432542258228e-11,0.0001036304075909387,1.182521356916687e-11,0.0001036321750026421,1.182667403311046e-11,0.0001036350813258898,1.182843476863383e-11,0.0001036385851895813
1.567129380178886e-11,0.0001112858746655598,1.567332576209759e-11,0.0001112899182665742,1.567597317616535e-11,0.0001112951866205691,1.568000562956906e-11,0.0001113032112028424,1.568569027827664e-11,0.0001113145236537705,1.572297885579529e-11,0.0001113887279230326,1.572504901998083e-11,0.0001113928475497619,1.572771541224662e-11,0.0001113981536703708,1.573168636480976e-11,0.0001114060558659714,1.573740676589002e-11,0.0001114174394641211,1.589236697072085e-11,0.0001117258102717345,1.589459980847414e-11,0.0001117302536188636,1.589747449058911e-11,0.0001117359742362723,1.590149196862462e-11,0.000111743969017563,1.590741491674277e-11,0.0001117557556843181,1.556214737706447e-11,0.0001110686732803583,1.556416933427858e-11,0.0001110726969752144,1.556679762259241e-11,0.0001110779272689589,1.557097930812353e-11,0.0001110862488231658,1.557650393374295e-11,0.0001110972428281485,1.547105446404722e-11,0.000110887398383454,1.547297626774683e-11,0.0001108912227728162,1.547564070750061e-11,0.0001108965250079262,1.548002209933138e-11,0.0001109052439776695,1.548530430590149e-11,0.000110915755568744
1.860947961326166e-11,0.0001171328644303907,1.861141067396384e-11,0.0001171367072411881,1.861394682793327e-11,0.0001171417541875872,1.861785991305484e-11,0.0001171495412269791,1.862343933780781e-11,0.0001171606442822376,1.867907962398924e-11,0.0001172713684517386,1.868105278109502e-11,0.0001172752950343791,1.868360880056435e-11,0.0001172803815131231,1.868745936134091e-11,0.0001172880441290684,1.869307466736382e-11,0.000117299218588054,1.89076258966205e-11,0.0001177261755342748,1.89097774785078e-11,0.0001177304571822305,1.89125605756114e-11,0.0001177359955454667,1.891647887520143e-11,0.0001177437929616509,1.892231147311377e-11,0.0001177553998314964,1.846266501893385e-11,0.0001168407033876784,1.846458689313998e-11,0.0001168445279173486,1.84671064170605e-11,0.0001168495417699504,1.847116509567986e-11,0.0001168576185404029,1.847657561484397e-11,0.0001168683854735395,1.834018456997922e-11,0.0001165969672942587,1.834199454612499e-11,0.0001166005691467887,1.834455911125836e-11,0.0001166056726314041,1.834880769888572e-11,0.0001166141273207826,1.835396631199213e-11,0.0001166243929608643
2.274224032356323e-11,0.0001253570582438908,2.274520900552539e-11,0.0001253629659209955,2.274909842069949e-11,0.000125370705857192,2.275504099486372e-11,0.0001253825315797788,2.276340935676309e-11,0.0001253991846199586,2.286960882069328e-11,0.0001256105215531796,2.287268403788598e-11,0.0001256166412353931,2.287663114583036e-11,0.0001256244959802024,2.288249105693601e-11,0.0001256361572033027,2.289091428019253e-11,0.0001256529194175831,2.328947412848263e-11,0.0001264460535156804,2.329298036613563e-11,0.0001264530309286099,2.329747068565709e-11,0.0001264619666644576,2.330367832152655e-11,0.0001264743198598378,2.33126606530144e-11,0.0001264921946994987,2.247784526184652e-11,0.0001248309120710746,2.248078452200042e-11,0.0001248367611987808,2.248464687699629e-11,0.0001248444472852226,2.249078317958734e-11,0.0001248566585273788,2.249886342831571e-11,0.0001248727382223483,2.226195441632252e-11,0.0001244012892884818,2.226486410122613e-11,0.00012440707956144,2.226862622521226e-11,0.0001244145661881724,2.227500139602993e-11,0.0001244272527780996,2.22826675906864e-11,0.000124442508505466
2.994650250927916e-11,0.0001396935399934656,2.993051022914279e-11,0.0001396617153559942,2.9910989646464e-11,0.0001396228693964634,2.98838042347274e-11,0.0001395687704271075,2.985055802538982e-11,0.0001395026104705258,3.023723310821489e-11,0.0001402720938853476,3.021993355849705e-11,0.0001402376677814091,3.019895272160773e-11,0.0001401959159159994,3.017021257189722e-11,0.0001401387230180755,3.013426706534636e-11,0.0001400671914600392,3.120808548337991e-11,0.000142204090111926,3.118557759752877e-11,0.0001421592994190823,3.115825901449639e-11,0.0001421049354388478,3.11230167964511e-11,0.0001420348034249377,3.107760829833544e-11,0.0001419444405136876,2.934810604700373e-11,0.0001385027310335374,2.93343554364225e-11,0.0001384753673184808,2.931769438659779e-11,0.0001384422118293296,2.929352702364288e-11,0.0001383941187770494,2.926593311945168e-11,0.0001383392069077089,2.886632144463292e-11,0.0001375439796748195,2.885416852081681e-11,0.0001375197953564255,2.883986753945876e-11,0.0001374913364035229,2.881768313649007e-11,0.0001374471894416152,2.87947241566051e-11,0.0001374015010716441
3.980450949587466e-11,0.0001593109738967906,3.987116448436383e-11,0.000159443617323884,3.996028039134826e-11,0.0001596209579787831,4.010208464990805e-11,0.000159903148453317,4.031086521349633e-11,0.0001603186217748577,4.018526944848473e-11,0.0001600686862024846,4.025169755303633e-11,0.0001602008781305423,4.034017076652157e-11,0.0001603769398253779,4.04780863855216e-11,0.000160651391907188,4.068616554835375e-11,0.000161065469441224,4.145851401428045e-11,0.0001626024428884181,4.152417550527408e-11,0.0001627331092554954,4.161266320111309e-11,0.0001629091997702151,4.17439877055004e-11,0.0001631705355339458,4.195081396168824e-11,0.0001635821197837596,3.901638450776874e-11,0.0001577426051704598,3.908447046873145e-11,0.0001578780962327756,3.917505025668547e-11,0.0001580583500108041,3.932589502773864e-11,0.0001583585311051999,3.953276790310335e-11,0.0001587702081271757,3.837533594240932e-11,0.0001564669185253945,3.844311382100818e-11,0.0001566017965038063,3.853462603285408e-11,0.0001567839058053796,3.869538350910701e-11,0.000157103813183123,3.889514912706155e-11,0.0001575013467628525
4.913890981085577e-11,0.000177886430523603,4.927110837852644e-11,0.0001781495056732676,4.944720326794905e-11,0.0001784999345032186,4.972683611299429e-11,0.0001790564038648587,5.013750752935491e-11,0.0001798736399834163,4.962565998579177e-11,0.0001788550633717256,4.975879199522539e-11,0.0001791199960704985,4.993539328983246e-11,0.0001794714326467666,5.02099858674405e-11,0.0001800178718762066,5.062307487949314e-11,0.0001808399190101913,5.124717671517573e-11,0.0001820818816631997,5.138388493925747e-11,0.0001823539310291224,5.156687477708202e-11,0.0001827180808063932,5.183669743215612e-11,0.0001832550278899907,5.226002307656999e-11,0.0001840974459223743,4.812737609383092e-11,0.0001758734784267235,4.82595478998316e-11,0.0001761365003206649,4.843485346581729e-11,0.0001764853583969764,4.872690268329697e-11,0.000177066536339761,4.912641397745239e-11,0.0001778615638151303,4.730180379102667e-11,0.0001742305895441431,4.74316732197036e-11,0.0001744890297072102,4.760596437333813e-11,0.0001748358691029429,4.791346799075938e-11,0.0001754478013016112,4.829409911735523e-11,0.0001762052572435369
5.872916280592412e-11,0.000196971033983789,5.891113597318628e-11,0.0001973331605866407,5.915535442808528e-11,0.0001978191553118897,5.954854244800505e-11,0.0001986015994715301,6.013591566895302e-11,0.0001997704721812165,5.933373556317997e-11,0.0001981741337707281,5.951681660961472e-11,0.0001985384650531333,5.976174606315209e-11,0.0001990258746656727,6.014780505665266e-11,0.0001997941320627388,6.073909913431896e-11,0.0002009708072772948,6.134741807324743e-11,0.0002021813619657624,6.153482503096599e-11,0.0002025543018116223,6.178813695121374e-11,0.0002030583925329153,6.216685136148792e-11,0.000203812034209361,6.277471038604635e-11,0.0002050216736682323,5.747284482833461e-11,0.0001944709612083859,5.765472917588377e-11,0.0001948329110600087,5.789770808621664e-11,0.0001953164390915711,5.830896342670167e-11,0.0001961348372191363,5.887988489569113e-11,0.0001972709709424254,5.644887132789355e-11,0.0001924332539425082,5.662793847676627e-11,0.0001927895975687649,5.686954839851115e-11,0.0001932704013130372,5.730402450883858e-11,0.0001941350087725888,5.784813447726004e-11,0.0001952177876097475
