"VOUT_TRAN (Temp=0,VREF_TRAN=0.05) X","VOUT_TRAN (Temp=0,VREF_TRAN=0.05) Y","VOUT_TRAN (Temp=0,VREF_TRAN=0.25) X","VOUT_TRAN (Temp=0,VREF_TRAN=0.25) Y","VOUT_TRAN (Temp=0,VREF_TRAN=0.45) X","VOUT_TRAN (Temp=0,VREF_TRAN=0.45) Y","VOUT_TRAN (Temp=0,VREF_TRAN=0.65) X","VOUT_TRAN (Temp=0,VREF_TRAN=0.65) Y","VOUT_TRAN (Temp=0,VREF_TRAN=0.85) X","VOUT_TRAN (Temp=0,VREF_TRAN=0.85) Y","VOUT_TRAN (Temp=27,VREF_TRAN=0.05) X","VOUT_TRAN (Temp=27,VREF_TRAN=0.05) Y","VOUT_TRAN (Temp=27,VREF_TRAN=0.25) X","VOUT_TRAN (Temp=27,VREF_TRAN=0.25) Y","VOUT_TRAN (Temp=27,VREF_TRAN=0.45) X","VOUT_TRAN (Temp=27,VREF_TRAN=0.45) Y","VOUT_TRAN (Temp=27,VREF_TRAN=0.65) X","VOUT_TRAN (Temp=27,VREF_TRAN=0.65) Y","VOUT_TRAN (Temp=27,VREF_TRAN=0.85) X","VOUT_TRAN (Temp=27,VREF_TRAN=0.85) Y","VOUT_TRAN (Temp=125,VREF_TRAN=0.05) X","VOUT_TRAN (Temp=125,VREF_TRAN=0.05) Y","VOUT_TRAN (Temp=125,VREF_TRAN=0.25) X","VOUT_TRAN (Temp=125,VREF_TRAN=0.25) Y","VOUT_TRAN (Temp=125,VREF_TRAN=0.45) X","VOUT_TRAN (Temp=125,VREF_TRAN=0.45) Y","VOUT_TRAN (Temp=125,VREF_TRAN=0.65) X","VOUT_TRAN (Temp=125,VREF_TRAN=0.65) Y","VOUT_TRAN (Temp=125,VREF_TRAN=0.85) X","VOUT_TRAN (Temp=125,VREF_TRAN=0.85) Y","VOUT_TRAN (Temp=-55,VREF_TRAN=0.05) X","VOUT_TRAN (Temp=-55,VREF_TRAN=0.05) Y","VOUT_TRAN (Temp=-55,VREF_TRAN=0.25) X","VOUT_TRAN (Temp=-55,VREF_TRAN=0.25) Y","VOUT_TRAN (Temp=-55,VREF_TRAN=0.45) X","VOUT_TRAN (Temp=-55,VREF_TRAN=0.45) Y","VOUT_TRAN (Temp=-55,VREF_TRAN=0.65) X","VOUT_TRAN (Temp=-55,VREF_TRAN=0.65) Y","VOUT_TRAN (Temp=-55,VREF_TRAN=0.85) X","VOUT_TRAN (Temp=-55,VREF_TRAN=0.85) Y","VOUT_TRAN (Temp=-100,VREF_TRAN=0.05) X","VOUT_TRAN (Temp=-100,VREF_TRAN=0.05) Y","VOUT_TRAN (Temp=-100,VREF_TRAN=0.25) X","VOUT_TRAN (Temp=-100,VREF_TRAN=0.25) Y","VOUT_TRAN (Temp=-100,VREF_TRAN=0.45) X","VOUT_TRAN (Temp=-100,VREF_TRAN=0.45) Y","VOUT_TRAN (Temp=-100,VREF_TRAN=0.65) X","VOUT_TRAN (Temp=-100,VREF_TRAN=0.65) Y","VOUT_TRAN (Temp=-100,VREF_TRAN=0.85) X","VOUT_TRAN (Temp=-100,VREF_TRAN=0.85) Y"
0,0.1086544780222147,0,0.5047855208325875,0,0.9040661445664588,0,1.303650428902307,0,1.703317695955363,0,0.1114186323551252,0,0.5062895126924515,0,0.9051815231224801,0,1.304561521208552,0,1.704078678894574,0,0.136801766898364,0,0.5207582261534816,0,0.915748334474724,0,1.312887912822244,0,1.71050263155897,0,0.1045966144042899,0,0.5022129406658901,0,0.9018732768863915,0,1.301659935196422,0,1.7014785206106,0,0.1046948942010206,0,0.5021143088139727,0,0.9019016462338438,0,1.301762277183157,0,1.701638528290381
9.999999999999999e-12,0.108654478020086,9.999999999999999e-12,0.5047855208251483,9.999999999999999e-12,0.9040661445530812,9.999999999999999e-12,1.303650428884766,9.999999999999999e-12,1.703317695935808,9.999999999999999e-12,0.1114186323529099,9.999999999999999e-12,0.5062895126843944,9.999999999999999e-12,0.9051815231092786,9.999999999999999e-12,1.304561521205746,9.999999999999999e-12,1.704078678874562,9.999999999999999e-12,0.1368017668958246,9.999999999999999e-12,0.5207582261453408,9.999999999999999e-12,0.9157483344614503,9.999999999999999e-12,1.312887912804841,9.999999999999999e-12,1.710502631539211,9.999999999999999e-12,0.1045966144033657,9.999999999999999e-12,0.5022129406642948,9.999999999999999e-12,0.9018732768816116,9.999999999999999e-12,1.301659935179011,9.999999999999999e-12,1.701478520604611,9.999999999999999e-12,0.1046948941996762,9.999999999999999e-12,0.5021143088059246,9.999999999999999e-12,0.9019016462205973,9.999999999999999e-12,1.301762277165865,9.999999999999999e-12,1.70163852827043
1.192031052678831e-11,0.1086534219578606,1.192073393576951e-11,0.5047845000926577,1.192129240690974e-11,0.9040651685283492,1.19221631153259e-11,1.303649519617906,1.192345673742321e-11,1.70331687942673,1.193820718546097e-11,0.1114175610146666,1.193863896952808e-11,0.5062884776639823,1.19392040664372e-11,0.9051805339172059,1.194006554591031e-11,1.30456059888362,1.194137203965604e-11,1.704077851118988,1.199662358372314e-11,0.136800648094287,1.199708535058413e-11,0.5207571465828524,1.199769205303628e-11,0.9157473048184063,1.199856397157628e-11,1.312886952073308,1.199992259441632e-11,1.710501770699284,1.188263485449517e-11,0.1045955907045735,1.188305071405956e-11,0.5022119504231346,1.188359883666517e-11,0.9018723291715594,1.188449560638818e-11,1.301659054643606,1.188574629922525e-11,1.701477728058092,1.185132545452366e-11,0.1046938979620609,1.185173313334666e-11,0.5021133445192367,1.185227003566126e-11,0.9019007227808169,1.185320573689377e-11,1.3017614225801,1.185439771910474e-11,1.701637756080842
1.576093158036492e-11,0.1086483272087835,1.576220180730853e-11,0.5047795929591292,1.576387722072921e-11,0.9040604992955353,1.57664893459777e-11,1.303645203539663,1.577037021226964e-11,1.703313053258762,1.581462155638291e-11,0.1114123955756122,1.581591690858425e-11,0.5062835048077409,1.58176121993116e-11,0.9051758043734145,1.582019663773092e-11,1.304556222660198,1.582411611896812e-11,1.704073973701748,1.598987075116941e-11,0.1367952610142867,1.599125605175238e-11,0.5207519669738179,1.599307615910884e-11,0.9157423895664136,1.599569191472884e-11,1.312882400977047,1.599976778324896e-11,1.710497746334325,1.564790456348552e-11,0.1045906457161669,1.564915214217868e-11,0.5022071844867317,1.565079650999551e-11,0.9018677910435341,1.565348681916454e-11,1.301654872523749,1.565723889767576e-11,1.701474011996136,1.555397636357099e-11,0.1046890816787995,1.555519940003999e-11,0.5021087003115876,1.555681010698377e-11,0.901896298248186,1.555961721068131e-11,1.301757363047095,1.556319315731422e-11,1.701634134392489
1.872845630438859e-11,0.10864063961127,1.873034782410151e-11,0.5047721995249163,1.873220790186726e-11,0.9040534820933458,1.873467745552529e-11,1.3036387465585,1.87381039577259e-11,1.703307374814469,1.879945557068878e-11,0.1114046423721777,1.880198979268958e-11,0.5062760499815884,1.880432613368852e-11,0.9051687305913608,1.880706191136945e-11,1.304549705287711,1.881073241715857e-11,1.704068244225446,1.902370502012416e-11,0.1367873313488531,1.902898992781383e-11,0.5207443444129177,1.90341928219473e-11,0.9157351654020193,1.903958518392601e-11,1.31287573327811,1.90461032515139e-11,1.710491890596906,1.857687351903001e-11,0.1045831057607733,1.857810290381182e-11,0.5021999315311964,1.857954513346866e-11,0.9018609046135566,1.85818506312403e-11,1.301648558010831,1.85849315454232e-11,1.701468446770248,1.845032029160611e-11,0.1046816761489247,1.845139090798044e-11,0.5021015744219662,1.845270633781913e-11,0.901889529800703,1.845504227962851e-11,1.301751186390194,1.845781648482762e-11,1.701628668637095
2.269197793117232e-11,0.1086235640715513,2.26955270121429e-11,0.5047557808759497,2.269849169904338e-11,0.9040379099953343,2.270190368633565e-11,1.303624442609153,2.270626003113963e-11,1.703294841814533,2.280863322205027e-11,0.1113873333974837,2.281387984351233e-11,0.5062594085554081,2.281810363773647e-11,0.9051529486071486,2.282227419658617e-11,1.304535187296408,2.282724040464296e-11,1.704055526731163,2.316902524665299e-11,0.1367693691946464,2.318164416196217e-11,0.5207270709154151,2.319349718888173e-11,0.9157187959244066,2.320484526485499e-11,1.312860639905455,2.321735034996229e-11,1.710478675955427,2.244105193485597e-11,0.1045665495142894,2.244284909913152e-11,0.5021840137570938,2.244472624652039e-11,0.9018458059391367,2.244759191431458e-11,1.301634741470124,2.245119124976531e-11,1.701456315827077,2.223141299824176e-11,0.1046655811677341,2.223281337376981e-11,0.5020860975145344,2.223439387830015e-11,0.9018748449703654,2.223719476692721e-11,1.30173781581956,2.224020813105934e-11,1.70161688170803
2.979856695654351e-11,0.108567642999067,2.980622315645132e-11,0.5047019777649188,2.981223300874305e-11,0.9039868663388428,2.981864469572008e-11,1.303577574842307,2.982636357319146e-11,1.703253860347999,3.003883992336863e-11,0.1113301957460535,3.005065236597401e-11,0.5062044297882021,3.005974344732582e-11,0.905100782317761,3.006805466077689e-11,1.304487206753901,3.007726054299141e-11,1.704013574924346,3.07760050885171e-11,0.1367086832332716,3.080612653654853e-11,0.520668625724652,3.083411150259053e-11,0.9156633419375084,3.086029966113573e-11,1.312809476869794,3.088823147568479e-11,1.710433932142121,2.92822749718564e-11,0.1045132878152407,2.928568479853689e-11,0.5021327963564939,2.928907461304806e-11,0.9017972278834765,2.929405236664407e-11,1.301590322566338,2.929995712106516e-11,1.701417403454168,2.885321591842251e-11,0.1046146171835941,2.885567249293104e-11,0.5020370909477806,2.885835495499147e-11,0.9018283568517919,2.886302503930979e-11,1.301695531585179,2.886760537512841e-11,1.701579692742142
3.988797582077479e-11,0.1084198726225818,3.994482843481472e-11,0.5045587689645047,4.001416963162578e-11,0.9038497254498417,4.011869150043149e-11,1.303449883964854,4.027164195996134e-11,1.703140046480946,4.020085628679405e-11,0.1111809568250752,4.026463216903105e-11,0.5060597844637491,4.033885561954889e-11,0.9049622435936013,4.044445571618056e-11,1.30435802243333,4.059989386313173e-11,1.703898437660543,4.122442371040087e-11,0.1365542272105641,4.129177677534227e-11,0.5205193221471048,4.137481787767335e-11,0.9155207719431948,4.148773963191576e-11,1.31267651716731,4.167419162820891e-11,1.71031545602555,3.921746180337476e-11,0.1043688673374544,3.926828106563867e-11,0.5019929089086406,3.933404839177617e-11,0.901663303920582,3.944106817168966e-11,1.301466069492316,3.958906076820968e-11,1.70130647066488,3.866810700796188e-11,0.1044732269527621,3.8717729453679e-11,0.5019001439794434,3.878242598169251e-11,0.9016972294988829,3.88949642067142e-11,1.30157441866246,3.903670951440385e-11,1.701471191087447
4.957866808716999e-11,0.1081931938501627,4.967518614013626e-11,0.5043385508239016,4.979994448406137e-11,0.9036380804506846,4.999446694325361e-11,1.30325171892135,5.028526909033366e-11,1.702962064663621,5.000046324275917e-11,0.1109515868265154,5.010301451109486e-11,0.5058370135179391,5.023190806594314e-11,0.9047481578819141,5.0425682365198e-11,1.304157300430805,5.072008744670745e-11,1.703718156590253,5.140411142453283e-11,0.1363155706178938,5.150428138310417e-11,0.5202880635199419,5.163734547549909e-11,0.9152991615333236,5.183135321620936e-11,1.312468739748001,5.215591064848778e-11,1.710129153066953,4.86854764123663e-11,0.1041480536311111,4.877749186877019e-11,0.5017784438453721,4.889898515827347e-11,0.9014572364495334,4.909899696675033e-11,1.301273813439602,4.937971073657393e-11,1.701133592030122,4.795533325235595e-11,0.1042577716731528,4.804581880247933e-11,0.5016909077725739,4.816515816167735e-11,0.9014961897868433,4.837419703704109e-11,1.301387712603671,4.864158539326286e-11,1.701302826684241
5.951821787172817e-11,0.1078706554610246,5.964921139625959e-11,0.5040245322264217,5.982358056637683e-11,0.9033354084547379,6.010123175837409e-11,1.302967064231831,6.052427003108687e-11,1.702704835103141,6.006063122842114e-11,0.1106252649355503,6.019619621836674e-11,0.5055194141878697,6.037338043652454e-11,0.9044420561084722,6.064794585941772e-11,1.303869037714899,6.107516095181872e-11,1.70345764037846,6.18833274944405e-11,0.1359761169183039,6.20107198289733e-11,0.5199583915011657,6.218697090252086e-11,0.9149822718895659,6.245380074978599e-11,1.312170297088301,6.290823876341623e-11,1.709859936875192,5.838035992882366e-11,0.1038336843833442,5.85092354461967e-11,0.5014724521565087,5.868145149921654e-11,0.9011623857174692,5.896850557808266e-11,1.300997498983723,5.93774773789816e-11,1.700883681549831,5.745320980502651e-11,0.1039508906730889,5.75806880898246e-11,0.5013922568251378,5.775022146467999e-11,0.9012084438958395,5.805060609911108e-11,1.301119287380548,5.844017489298237e-11,1.701059457290248
