"ILOAD_TRAN (Temp=0,VREF_TRAN=0.05) X","ILOAD_TRAN (Temp=0,VREF_TRAN=0.05) Y","ILOAD_TRAN (Temp=0,VREF_TRAN=0.25) X","ILOAD_TRAN (Temp=0,VREF_TRAN=0.25) Y","ILOAD_TRAN (Temp=0,VREF_TRAN=0.45) X","ILOAD_TRAN (Temp=0,VREF_TRAN=0.45) Y","ILOAD_TRAN (Temp=0,VREF_TRAN=0.65) X","ILOAD_TRAN (Temp=0,VREF_TRAN=0.65) Y","ILOAD_TRAN (Temp=0,VREF_TRAN=0.85) X","ILOAD_TRAN (Temp=0,VREF_TRAN=0.85) Y","ILOAD_TRAN (Temp=27,VREF_TRAN=0.05) X","ILOAD_TRAN (Temp=27,VREF_TRAN=0.05) Y","ILOAD_TRAN (Temp=27,VREF_TRAN=0.25) X","ILOAD_TRAN (Temp=27,VREF_TRAN=0.25) Y","ILOAD_TRAN (Temp=27,VREF_TRAN=0.45) X","ILOAD_TRAN (Temp=27,VREF_TRAN=0.45) Y","ILOAD_TRAN (Temp=27,VREF_TRAN=0.65) X","ILOAD_TRAN (Temp=27,VREF_TRAN=0.65) Y","ILOAD_TRAN (Temp=27,VREF_TRAN=0.85) X","ILOAD_TRAN (Temp=27,VREF_TRAN=0.85) Y","ILOAD_TRAN (Temp=125,VREF_TRAN=0.05) X","ILOAD_TRAN (Temp=125,VREF_TRAN=0.05) Y","ILOAD_TRAN (Temp=125,VREF_TRAN=0.25) X","ILOAD_TRAN (Temp=125,VREF_TRAN=0.25) Y","ILOAD_TRAN (Temp=125,VREF_TRAN=0.45) X","ILOAD_TRAN (Temp=125,VREF_TRAN=0.45) Y","ILOAD_TRAN (Temp=125,VREF_TRAN=0.65) X","ILOAD_TRAN (Temp=125,VREF_TRAN=0.65) Y","ILOAD_TRAN (Temp=125,VREF_TRAN=0.85) X","ILOAD_TRAN (Temp=125,VREF_TRAN=0.85) Y","ILOAD_TRAN (Temp=-55,VREF_TRAN=0.05) X","ILOAD_TRAN (Temp=-55,VREF_TRAN=0.05) Y","ILOAD_TRAN (Temp=-55,VREF_TRAN=0.25) X","ILOAD_TRAN (Temp=-55,VREF_TRAN=0.25) Y","ILOAD_TRAN (Temp=-55,VREF_TRAN=0.45) X","ILOAD_TRAN (Temp=-55,VREF_TRAN=0.45) Y","ILOAD_TRAN (Temp=-55,VREF_TRAN=0.65) X","ILOAD_TRAN (Temp=-55,VREF_TRAN=0.65) Y","ILOAD_TRAN (Temp=-55,VREF_TRAN=0.85) X","ILOAD_TRAN (Temp=-55,VREF_TRAN=0.85) Y","ILOAD_TRAN (Temp=-100,VREF_TRAN=0.05) X","ILOAD_TRAN (Temp=-100,VREF_TRAN=0.05) Y","ILOAD_TRAN (Temp=-100,VREF_TRAN=0.25) X","ILOAD_TRAN (Temp=-100,VREF_TRAN=0.25) Y","ILOAD_TRAN (Temp=-100,VREF_TRAN=0.45) X","ILOAD_TRAN (Temp=-100,VREF_TRAN=0.45) Y","ILOAD_TRAN (Temp=-100,VREF_TRAN=0.65) X","ILOAD_TRAN (Temp=-100,VREF_TRAN=0.65) Y","ILOAD_TRAN (Temp=-100,VREF_TRAN=0.85) X","ILOAD_TRAN (Temp=-100,VREF_TRAN=0.85) Y"
0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001,0,0.0001
9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001,9.999999999999999e-12,0.0001
1.192031052678831e-11,0.0001038214179483087,1.192073393576951e-11,0.0001038222605321813,1.192129240690974e-11,0.0001038233718897504,1.19221631153259e-11,0.0001038251045994986,1.192345673742321e-11,0.0001038276789074722,1.193820718546097e-11,0.0001038570322990673,1.193863896952808e-11,0.0001038578915493609,1.19392040664372e-11,0.00010385901609221,1.194006554591031e-11,0.0001038607304363615,1.194137203965604e-11,0.0001038633303589155,1.199662358372314e-11,0.000103973280931609,1.199708535058413e-11,0.0001039741998476624,1.199769205303628e-11,0.0001039754071855422,1.199856397157628e-11,0.0001039771423034368,1.199992259441632e-11,0.0001039798459628885,1.188263485449517e-11,0.0001037464433604454,1.188305071405956e-11,0.0001037472709209785,1.188359883666517e-11,0.0001037483616849637,1.188449560638818e-11,0.0001037501462567125,1.188574629922525e-11,0.0001037526351354583,1.185132545452366e-11,0.0001036841376545021,1.185173313334666e-11,0.0001036849489353599,1.185227003566126e-11,0.0001036860173709659,1.185320573689377e-11,0.0001036878794164186,1.185439771910474e-11,0.0001036902514610184
1.576093158036492e-11,0.0001114642538449262,1.576220180730853e-11,0.000111466781596544,1.576387722072921e-11,0.0001114701156692511,1.57664893459777e-11,0.0001114753137984956,1.577037021226964e-11,0.0001114830367224166,1.581462155638291e-11,0.000111571096897202,1.581591690858425e-11,0.0001115736746480827,1.58176121993116e-11,0.0001115770482766301,1.582019663773092e-11,0.0001115821913090845,1.582411611896812e-11,0.0001115899910767466,1.598987075116941e-11,0.0001119198427948271,1.599125605175238e-11,0.0001119225995429873,1.599307615910884e-11,0.0001119262215566266,1.599569191472884e-11,0.0001119314269103104,1.599976778324896e-11,0.0001119395378886654,1.564790456348552e-11,0.0001112393300813362,1.564915214217868e-11,0.0001112418127629356,1.565079650999551e-11,0.0001112450850548911,1.565348681916454e-11,0.0001112504387701374,1.565723889767576e-11,0.0001112579054063748,1.555397636357099e-11,0.0001110524129635063,1.555519940003999e-11,0.0001110548468060796,1.555681010698377e-11,0.0001110580521128977,1.555961721068131e-11,0.0001110636382492558,1.556319315731422e-11,0.0001110707543830553
1.872845630438859e-11,0.0001173696280457333,1.873034782410151e-11,0.000117373392169962,1.873220790186726e-11,0.0001173770937247159,1.873467745552529e-11,0.0001173820081364953,1.87381039577259e-11,0.0001173888268758746,1.879945557068878e-11,0.0001175109165856707,1.880198979268958e-11,0.0001175159596874523,1.880432613368852e-11,0.0001175206090060402,1.880706191136945e-11,0.0001175260532036252,1.881073241715857e-11,0.0001175333575101456,1.902370502012416e-11,0.0001179571729900471,1.902898992781383e-11,0.0001179676899563495,1.90341928219473e-11,0.0001179780437156751,1.903958518392601e-11,0.0001179887745160128,1.90461032515139e-11,0.0001180017454705127,1.857687351903001e-11,0.0001170679783028697,1.857810290381182e-11,0.0001170704247785855,1.857954513346866e-11,0.0001170732948156026,1.85818506312403e-11,0.0001170778827561682,1.85849315454232e-11,0.0001170840137753922,1.845032029160611e-11,0.0001168161373802962,1.845139090798044e-11,0.0001168182679068811,1.845270633781913e-11,0.0001168208856122601,1.845504227962851e-11,0.0001168255341364607,1.845781648482762e-11,0.000116831054804807
2.269197793117232e-11,0.0001252570360830329,2.26955270121429e-11,0.0001252640987541644,2.269849169904338e-11,0.0001252699984810963,2.270190368633565e-11,0.0001252767883358079,2.270626003113963e-11,0.0001252854574619679,2.280863322205027e-11,0.00012548918011188,2.281387984351233e-11,0.0001254996208885895,2.281810363773647e-11,0.0001255080262390956,2.282227419658617e-11,0.0001255163256512065,2.282724040464296e-11,0.0001255262084052395,2.316902524665299e-11,0.0001262063602408395,2.318164416196217e-11,0.0001262314718823047,2.319349718888173e-11,0.0001262550594058746,2.320484526485499e-11,0.0001262776420770614,2.321735034996229e-11,0.000126302527196425,2.244105193485597e-11,0.0001247576933503634,2.244284909913152e-11,0.0001247612697072717,2.244472624652039e-11,0.0001247650052305756,2.244759191431458e-11,0.000124770707909486,2.245119124976531e-11,0.000124777870587033,2.223141299824176e-11,0.0001243405118665011,2.223281337376981e-11,0.0001243432986138019,2.223439387830015e-11,0.0001243464438178173,2.223719476692721e-11,0.0001243520175861852,2.224020813105934e-11,0.0001243580141808081
2.979856695654351e-11,0.0001393991482435216,2.980622315645132e-11,0.0001394143840813381,2.981223300874305e-11,0.0001394263436873987,2.981864469572008e-11,0.000139439102944483,2.982636357319146e-11,0.000139454463510651,3.003883992336863e-11,0.0001398772914475036,3.005065236597401e-11,0.0001399007982082883,3.005974344732582e-11,0.0001399188894601784,3.006805466077689e-11,0.000139935428774946,3.007726054299141e-11,0.0001399537484805529,3.07760050885171e-11,0.000141344250126149,3.080612653654853e-11,0.0001414041918077316,3.083411150259053e-11,0.0001414598818901552,3.086029966113573e-11,0.0001415119963256601,3.088823147568479e-11,0.0001415675806366127,2.92822749718564e-11,0.0001383717271939943,2.928568479853689e-11,0.0001383785127490884,2.928907461304806e-11,0.0001383852584799656,2.929405236664407e-11,0.0001383951642096217,2.929995712106516e-11,0.0001384069146709197,2.885321591842251e-11,0.0001375178996776608,2.885567249293104e-11,0.0001375227882609328,2.885835495499147e-11,0.000137528126360433,2.886302503930979e-11,0.0001375374198282265,2.886760537512841e-11,0.0001375465346965056
3.988797582077479e-11,0.0001594770718833418,3.994482843481472e-11,0.0001595902085852813,4.001416963162578e-11,0.0001597281975669353,4.011869150043149e-11,0.0001599361960858587,4.027164195996134e-11,0.0001602405675003231,4.020085628679405e-11,0.0001600997040107202,4.026463216903105e-11,0.0001602266180163718,4.033885561954889e-11,0.0001603743226829023,4.044445571618056e-11,0.0001605844668751993,4.059989386313173e-11,0.0001608937887876321,4.122442371040087e-11,0.0001621366031836977,4.129177677534227e-11,0.0001622706357829311,4.137481787767335e-11,0.00016243588757657,4.148773963191576e-11,0.0001626606018675124,4.167419162820891e-11,0.0001630316413401357,3.921746180337476e-11,0.0001581427489887158,3.926828106563867e-11,0.000158243879320621,3.933404839177617e-11,0.0001583747562996346,3.944106817168966e-11,0.0001585877256616624,3.958906076820968e-11,0.0001588822309287373,3.866810700796188e-11,0.0001570495329458442,3.8717729453679e-11,0.0001571482816128212,3.878242598169251e-11,0.0001572770277035681,3.88949642067142e-11,0.0001575009787713613,3.903670951440385e-11,0.0001577830519336637
4.957866808716999e-11,0.0001787615494934683,4.967518614013626e-11,0.0001789536204188712,4.979994448406137e-11,0.0001792018895232821,4.999446694325361e-11,0.0001795889892170747,5.028526909033366e-11,0.000180167685489764,5.000046324275917e-11,0.0001796009218530907,5.010301451109486e-11,0.0001798049988770788,5.023190806594314e-11,0.0001800614970512269,5.0425682365198e-11,0.000180447107906744,5.072008744670745e-11,0.0001810329740189478,5.140411142453283e-11,0.0001823941817348203,5.150428138310417e-11,0.0001825935199523773,5.163734547549909e-11,0.0001828583174962432,5.183135321620936e-11,0.0001832443929002567,5.215591064848778e-11,0.0001838902621904907,4.86854764123663e-11,0.0001769840980606089,4.877749186877019e-11,0.0001771672088188527,4.889898515827347e-11,0.0001774089804649642,4.909899696675033e-11,0.0001778070039638332,4.937971073657393e-11,0.0001783656243657821,4.795533325235595e-11,0.0001755311131721883,4.804581880247933e-11,0.0001757111794169339,4.816515816167735e-11,0.0001759486647417379,4.837419703704109e-11,0.0001763646521037118,4.864158539326286e-11,0.0001768967549325931
5.951821787172817e-11,0.0001985412535647391,5.964921139625959e-11,0.0001988019306785566,5.982358056637683e-11,0.0001991489253270899,6.010123175837409e-11,0.0001997014511991644,6.052427003108687e-11,0.0002005432973618629,6.006063122842114e-11,0.0001996206561445581,6.019619621836674e-11,0.0001998904304745498,6.037338043652454e-11,0.0002002430270686838,6.064794585941772e-11,0.0002007894122602413,6.107516095181872e-11,0.0002016395702941193,6.18833274944405e-11,0.0002032478217139366,6.20107198289733e-11,0.0002035013324596569,6.218697090252086e-11,0.0002038520720960165,6.245380074978599e-11,0.0002043830634920741,6.290823876341623e-11,0.0002052873951391983,5.838035992882366e-11,0.0001962769162583591,5.85092354461967e-11,0.0001965333785379315,5.868145149921654e-11,0.0001968760884834409,5.896850557808266e-11,0.0001974473261003845,5.93774773789816e-11,0.0001982611799841734,5.745320980502651e-11,0.0001944318875120028,5.75806880898246e-11,0.000194685569298751,5.775022146467999e-11,0.0001950229407147132,5.805060609911108e-11,0.0001956207061372311,5.844017489298237e-11,0.0001963959480370349
