"VOUT_TRAN (Temp=0,VREF_TRAN=0.05) X","VOUT_TRAN (Temp=0,VREF_TRAN=0.05) Y","VOUT_TRAN (Temp=0,VREF_TRAN=0.25) X","VOUT_TRAN (Temp=0,VREF_TRAN=0.25) Y","VOUT_TRAN (Temp=0,VREF_TRAN=0.45) X","VOUT_TRAN (Temp=0,VREF_TRAN=0.45) Y","VOUT_TRAN (Temp=0,VREF_TRAN=0.65) X","VOUT_TRAN (Temp=0,VREF_TRAN=0.65) Y","VOUT_TRAN (Temp=0,VREF_TRAN=0.85) X","VOUT_TRAN (Temp=0,VREF_TRAN=0.85) Y","VOUT_TRAN (Temp=27,VREF_TRAN=0.05) X","VOUT_TRAN (Temp=27,VREF_TRAN=0.05) Y","VOUT_TRAN (Temp=27,VREF_TRAN=0.25) X","VOUT_TRAN (Temp=27,VREF_TRAN=0.25) Y","VOUT_TRAN (Temp=27,VREF_TRAN=0.45) X","VOUT_TRAN (Temp=27,VREF_TRAN=0.45) Y","VOUT_TRAN (Temp=27,VREF_TRAN=0.65) X","VOUT_TRAN (Temp=27,VREF_TRAN=0.65) Y","VOUT_TRAN (Temp=27,VREF_TRAN=0.85) X","VOUT_TRAN (Temp=27,VREF_TRAN=0.85) Y","VOUT_TRAN (Temp=125,VREF_TRAN=0.05) X","VOUT_TRAN (Temp=125,VREF_TRAN=0.05) Y","VOUT_TRAN (Temp=125,VREF_TRAN=0.25) X","VOUT_TRAN (Temp=125,VREF_TRAN=0.25) Y","VOUT_TRAN (Temp=125,VREF_TRAN=0.45) X","VOUT_TRAN (Temp=125,VREF_TRAN=0.45) Y","VOUT_TRAN (Temp=125,VREF_TRAN=0.65) X","VOUT_TRAN (Temp=125,VREF_TRAN=0.65) Y","VOUT_TRAN (Temp=125,VREF_TRAN=0.85) X","VOUT_TRAN (Temp=125,VREF_TRAN=0.85) Y","VOUT_TRAN (Temp=-55,VREF_TRAN=0.05) X","VOUT_TRAN (Temp=-55,VREF_TRAN=0.05) Y","VOUT_TRAN (Temp=-55,VREF_TRAN=0.25) X","VOUT_TRAN (Temp=-55,VREF_TRAN=0.25) Y","VOUT_TRAN (Temp=-55,VREF_TRAN=0.45) X","VOUT_TRAN (Temp=-55,VREF_TRAN=0.45) Y","VOUT_TRAN (Temp=-55,VREF_TRAN=0.65) X","VOUT_TRAN (Temp=-55,VREF_TRAN=0.65) Y","VOUT_TRAN (Temp=-55,VREF_TRAN=0.85) X","VOUT_TRAN (Temp=-55,VREF_TRAN=0.85) Y","VOUT_TRAN (Temp=-100,VREF_TRAN=0.05) X","VOUT_TRAN (Temp=-100,VREF_TRAN=0.05) Y","VOUT_TRAN (Temp=-100,VREF_TRAN=0.25) X","VOUT_TRAN (Temp=-100,VREF_TRAN=0.25) Y","VOUT_TRAN (Temp=-100,VREF_TRAN=0.45) X","VOUT_TRAN (Temp=-100,VREF_TRAN=0.45) Y","VOUT_TRAN (Temp=-100,VREF_TRAN=0.65) X","VOUT_TRAN (Temp=-100,VREF_TRAN=0.65) Y","VOUT_TRAN (Temp=-100,VREF_TRAN=0.85) X","VOUT_TRAN (Temp=-100,VREF_TRAN=0.85) Y"
0,0.1074121143156965,0,0.5039609314297143,0,0.9032489494241606,0,1.302835261107666,0,1.70250798797197,0,0.1101323444122005,0,0.5055030093154053,0,0.9044053283164903,0,1.30377868344201,0,1.703289631807369,0,0.1346972051055027,0,0.5197811763531576,0,0.9149973557293981,0,1.31220156430413,0,1.709814029931028,0,0.1031947252745593,0,0.5011743887229415,0,0.900856129604553,0,1.300664493326882,0,1.700510728143504,0,0.1030673909482973,0,0.5010532573907224,0,0.9008726405778655,0,1.300766605968556,0,1.700684125828496
9.999999999999999e-12,0.107412114315692,9.999999999999999e-12,0.5039609314353392,9.999999999999999e-12,0.9032489494382351,9.999999999999999e-12,1.302835261107757,9.999999999999999e-12,1.702507987973078,9.999999999999999e-12,0.1101323444121995,9.999999999999999e-12,0.5055030093191041,9.999999999999999e-12,0.9044053283175649,9.999999999999999e-12,1.303778683455923,9.999999999999999e-12,1.703289631807574,9.999999999999999e-12,0.134697205105487,9.999999999999999e-12,0.5197811763531737,9.999999999999999e-12,0.9149973557294047,9.999999999999999e-12,1.312201564304142,9.999999999999999e-12,1.709814029931041,9.999999999999999e-12,0.1031947252745424,9.999999999999999e-12,0.5011743887231452,9.999999999999999e-12,0.9008561296045143,9.999999999999999e-12,1.300664493326875,9.999999999999999e-12,1.700510728143504,9.999999999999999e-12,0.1030673910140367,9.999999999999999e-12,0.5010532611650045,9.999999999999999e-12,0.9008726405804163,9.999999999999999e-12,1.30076660600172,9.999999999999999e-12,1.700684125853615
1.189043126726295e-11,0.107410874488134,1.189110858736586e-11,0.5039597604068636,1.189199105872178e-11,0.9032478636956306,1.189333520985635e-11,1.302834293610345,1.189523009275888e-11,1.702507169360808,1.190765961859843e-11,0.1101310914246036,1.190834967332694e-11,0.5055018271268602,1.190923847074887e-11,0.904404232465858,1.191056212160325e-11,1.303777705068339,1.191246892196334e-11,1.703288804184224,1.196412232357361e-11,0.1346959069838339,1.196486660282471e-11,0.5197799566341149,1.196582483019637e-11,0.9149962317982726,1.196716398954154e-11,1.31220056385309,1.196913830558092e-11,1.709813189850884,1.185404912568816e-11,0.1031935143413622,1.185472311142619e-11,0.5011732459892783,1.18555992075308e-11,0.9008550711850122,1.185699310270784e-11,1.300663554562832,1.185883464458098e-11,1.700509931491474,1.182368482134907e-11,0.1030662100890388,1.182432542258228e-11,0.5010521481615853,1.182521356916687e-11,0.900871608955939,1.182667403311046e-11,1.300765695762836,1.182843476863383e-11,1.70068334930918
1.567129380178886e-11,0.1074045161382519,1.567332576209759e-11,0.5039537594384953,1.567597317616535e-11,0.9032423065563762,1.568000562956906e-11,1.30282935926631,1.568569027827664e-11,1.702503025320564,1.572297885579529e-11,0.1101246632250135,1.572504901998083e-11,0.5054957650817925,1.572771541224662e-11,0.904398619715462,1.573168636480976e-11,1.303772711003077,1.573740676589002e-11,1.703284610857833,1.589236697072085e-11,0.1346892486090511,1.589459980847414e-11,0.5197736982904583,1.589747449058911e-11,0.9149904650463753,1.590149196862462e-11,1.312195437898407,1.590741491674277e-11,1.709808908198778,1.556214737706447e-11,0.1031873115986596,1.556416933427858e-11,0.5011673955829404,1.556679762259241e-11,0.9008496569254434,1.557097930812353e-11,1.300658772115357,1.557650393374295e-11,1.700505904319789,1.547105446404722e-11,0.1030601644167485,1.547297626774683e-11,0.501046449606273,1.547564070750061e-11,0.9008663330562924,1.548002209933138e-11,1.300761065142816,1.548530430590149e-11,1.700679429746505
1.860947961326166e-11,0.1073946124348699,1.861141067396384e-11,0.5039444186540756,1.861394682793327e-11,0.9032336657704162,1.861785991305484e-11,1.302821708982841,1.862343933780781e-11,1.702496638182513,1.867907962398924e-11,0.1101146924529149,1.868105278109502e-11,0.5054863674428717,1.868360880056435e-11,0.904389927748984,1.868745936134091e-11,1.303764998509465,1.869307466736382e-11,1.70327817284529,1.89076258966205e-11,0.134679060645217,1.89097774785078e-11,0.5197641236003746,1.89125605756114e-11,0.9149816466697362,1.891647887520143e-11,1.312187612435762,1.892231147311377e-11,1.709802402894517,1.846266501893385e-11,0.1031775629118429,1.846458689313998e-11,0.5011582055465278,1.84671064170605e-11,0.9008411594321771,1.847116509567986e-11,1.300651291175386,1.847657561484397e-11,1.700499642878585,1.834018456997922e-11,0.1030505858797111,1.834199454612499e-11,0.50103742368964,1.834455911125836e-11,0.9008579848651459,1.834880769888572e-11,1.300753768002993,1.835396631199213e-11,1.700673290275448
2.274224032356323e-11,0.1073707720422154,2.274520900552539e-11,0.5039219187700603,2.274909842069949e-11,0.9032128385418803,2.275504099486372e-11,1.302803271032793,2.276340935676309e-11,1.70248127164983,2.286960882069328e-11,0.1100904878268541,2.287268403788598e-11,0.5054635373677505,2.287663114583036e-11,0.9043687979790609,2.288249105693601e-11,1.303746250405482,2.289091428019253e-11,1.70326255008699,2.328947412848263e-11,0.1346536641766654,2.329298036613563e-11,0.519740230299499,2.329747068565709e-11,0.9149596165678936,2.330367832152655e-11,1.312168049704583,2.33126606530144e-11,1.709786158833283,2.247784526184652e-11,0.1031544926088391,2.248078452200042e-11,0.5011364418344879,2.248464687699629e-11,0.9008210210393068,2.249078317958734e-11,1.30063356804415,2.249886342831571e-11,1.700484836227145,2.226195441632252e-11,0.1030282143561682,2.226486410122613e-11,0.501016325054997,2.226862622521226e-11,0.9008384582492053,2.227500139602993e-11,1.300736712824407,2.22826675906864e-11,1.700658967139969
2.994650250927916e-11,0.1072934428410744,2.993051022914279e-11,0.5038491005945159,2.9910989646464e-11,0.9031456322608784,2.98838042347274e-11,1.302744084837974,2.985055802538982e-11,1.70243235584944,3.023723310821489e-11,0.1100109530831319,3.021993355849705e-11,0.5053886925094422,3.019895272160773e-11,0.9042997398645203,3.017021257189722e-11,1.303685296642521,3.013426706534636e-11,1.703212193377614,3.120808548337991e-11,0.1345666866925815,3.118557759752877e-11,0.5196586169145966,3.115825901449639e-11,0.9148846277184248,3.11230167964511e-11,1.312101811055606,3.107760829833544e-11,1.709731663618773,2.934810604700373e-11,0.1030817209041007,2.93343554364225e-11,0.5010679281834729,2.931769438659779e-11,0.900757790763891,2.929352702364288e-11,1.300578215659317,2.926593311945168e-11,1.70043895021185,2.886632144463292e-11,0.1029592740973454,2.885416852081681e-11,0.5009514245589667,2.883986753945876e-11,0.9007785370448166,2.881768313649007e-11,1.300684669657961,2.87947241566051e-11,1.700615569836442
3.980450949587466e-11,0.1070994421787886,3.987116448436383e-11,0.5036633394683632,3.996028039134826e-11,0.9029704791088733,4.010208464990805e-11,1.302584901369258,4.031086521349633e-11,1.702295186729994,4.018526944848473e-11,0.1098142357690094,4.025169755303633e-11,0.5052004018023738,4.034017076652157e-11,0.9041222182737023,4.04780863855216e-11,1.303523653150927,4.068616554835375e-11,1.703072910457232,4.145851401428045e-11,0.1343610836492281,4.152417550527408e-11,0.5194621603321666,4.161266320111309e-11,0.9146998957375346,4.17439877055004e-11,1.311933391575691,4.195081396168824e-11,1.709586924015588,3.901638450776874e-11,0.1028936575349778,3.908447046873145e-11,0.500887907203234,3.917505025668547e-11,0.9005880939661894,3.932589502773864e-11,1.300424780941687,3.953276790310335e-11,1.700306514311555,3.837533594240932e-11,0.1027767503378151,3.844311382100818e-11,0.500776762168666,3.853462603285408e-11,0.9006138756023608,3.869538350910701e-11,1.300536797719607,3.889514912706155e-11,1.700487440395297
4.913890981085577e-11,0.1068139513075121,4.927110837852644e-11,0.5033885657316941,4.944720326794905e-11,0.9027096783996572,4.972683611299429e-11,1.30234558982003,5.013750752935491e-11,1.702086395896703,4.962565998579177e-11,0.1095249373070219,4.975879199522539e-11,0.5049220204052487,4.993539328983246e-11,0.9038579784217351,5.02099858674405e-11,1.303280705591148,5.062307487949314e-11,1.702860883299384,5.124717671517573e-11,0.134059718462706,5.138388493925747e-11,0.5191724925017639,5.156687477708202e-11,0.9144254402693289,5.183669743215612e-11,1.311680551510691,5.226002307656999e-11,1.709366576077202,4.812737609383092e-11,0.102616628124239,4.82595478998316e-11,0.5006214023729931,4.843485346581729e-11,0.900335268383909,4.872690268329697e-11,1.300194015176201,4.912641397745239e-11,1.7001050345094,4.730180379102667e-11,0.1025076260369674,4.74316732197036e-11,0.5005179780468988,4.760596437333813e-11,0.9003684190766299,4.791346799075938e-11,1.300314302755988,4.829409911735523e-11,1.700292624992877
5.872916280592412e-11,0.1064182568188215,5.891113597318628e-11,0.5030063847985867,5.915535442808528e-11,0.9023452623764159,5.954854244800505e-11,1.302008900630263,6.013591566895302e-11,1.701789950139049,5.933373556317997e-11,0.1091243845476488,5.951681660961472e-11,0.5045351931134439,5.976174606315209e-11,0.9034890885627208,6.014780505665266e-11,1.302939214139235,6.073909913431896e-11,1.702560074645052,6.134741807324743e-11,0.1336438985898984,6.153482503096599e-11,0.5187712452918023,6.178813695121374e-11,0.9140433223759031,6.216685136148792e-11,1.3113259998634,6.277471038604635e-11,1.709054528971338,5.747284482833461e-11,0.1022317570437999,5.765472917588377e-11,0.5002498625456275,5.789770808621664e-11,0.899981199759212,5.830896342670167e-11,1.299868598421654,5.887988489569113e-11,1.69981843711486,5.644887132789355e-11,0.1021328234896298,5.662793847676627e-11,0.5001563205926394,5.686954839851115e-11,0.9000238718429795,5.730402450883858e-11,1.299999787955928,5.784813447726004e-11,1.700014984809137
