"VREF_TRAN (Temp=0,VREF_TRAN=0.05) X","VREF_TRAN (Temp=0,VREF_TRAN=0.05) Y","VREF_TRAN (Temp=0,VREF_TRAN=0.25) X","VREF_TRAN (Temp=0,VREF_TRAN=0.25) Y","VREF_TRAN (Temp=0,VREF_TRAN=0.45) X","VREF_TRAN (Temp=0,VREF_TRAN=0.45) Y","VREF_TRAN (Temp=0,VREF_TRAN=0.65) X","VREF_TRAN (Temp=0,VREF_TRAN=0.65) Y","VREF_TRAN (Temp=0,VREF_TRAN=0.85) X","VREF_TRAN (Temp=0,VREF_TRAN=0.85) Y","VREF_TRAN (Temp=27,VREF_TRAN=0.05) X","VREF_TRAN (Temp=27,VREF_TRAN=0.05) Y","VREF_TRAN (Temp=27,VREF_TRAN=0.25) X","VREF_TRAN (Temp=27,VREF_TRAN=0.25) Y","VREF_TRAN (Temp=27,VREF_TRAN=0.45) X","VREF_TRAN (Temp=27,VREF_TRAN=0.45) Y","VREF_TRAN (Temp=27,VREF_TRAN=0.65) X","VREF_TRAN (Temp=27,VREF_TRAN=0.65) Y","VREF_TRAN (Temp=27,VREF_TRAN=0.85) X","VREF_TRAN (Temp=27,VREF_TRAN=0.85) Y","VREF_TRAN (Temp=125,VREF_TRAN=0.05) X","VREF_TRAN (Temp=125,VREF_TRAN=0.05) Y","VREF_TRAN (Temp=125,VREF_TRAN=0.25) X","VREF_TRAN (Temp=125,VREF_TRAN=0.25) Y","VREF_TRAN (Temp=125,VREF_TRAN=0.45) X","VREF_TRAN (Temp=125,VREF_TRAN=0.45) Y","VREF_TRAN (Temp=125,VREF_TRAN=0.65) X","VREF_TRAN (Temp=125,VREF_TRAN=0.65) Y","VREF_TRAN (Temp=125,VREF_TRAN=0.85) X","VREF_TRAN (Temp=125,VREF_TRAN=0.85) Y","VREF_TRAN (Temp=-55,VREF_TRAN=0.05) X","VREF_TRAN (Temp=-55,VREF_TRAN=0.05) Y","VREF_TRAN (Temp=-55,VREF_TRAN=0.25) X","VREF_TRAN (Temp=-55,VREF_TRAN=0.25) Y","VREF_TRAN (Temp=-55,VREF_TRAN=0.45) X","VREF_TRAN (Temp=-55,VREF_TRAN=0.45) Y","VREF_TRAN (Temp=-55,VREF_TRAN=0.65) X","VREF_TRAN (Temp=-55,VREF_TRAN=0.65) Y","VREF_TRAN (Temp=-55,VREF_TRAN=0.85) X","VREF_TRAN (Temp=-55,VREF_TRAN=0.85) Y","VREF_TRAN (Temp=-100,VREF_TRAN=0.05) X","VREF_TRAN (Temp=-100,VREF_TRAN=0.05) Y","VREF_TRAN (Temp=-100,VREF_TRAN=0.25) X","VREF_TRAN (Temp=-100,VREF_TRAN=0.25) Y","VREF_TRAN (Temp=-100,VREF_TRAN=0.45) X","VREF_TRAN (Temp=-100,VREF_TRAN=0.45) Y","VREF_TRAN (Temp=-100,VREF_TRAN=0.65) X","VREF_TRAN (Temp=-100,VREF_TRAN=0.65) Y","VREF_TRAN (Temp=-100,VREF_TRAN=0.85) X","VREF_TRAN (Temp=-100,VREF_TRAN=0.85) Y"
6.997198833216394e-11,0.1,7.012894672399192e-11,0.5,7.034288546647707e-11,0.9,7.069094930971065e-11,1.3,7.123385190189322e-11,1.7,7.064579450792674e-11,0.1,7.080505765266964e-11,0.5,7.101964020716494e-11,0.9,7.13613832669473e-11,1.3,7.190783520137276e-11,1.7,7.293295433859438e-11,0.1,7.307398358823458e-11,0.5,7.32777722614683e-11,0.9,7.359893811740862e-11,1.3,7.416578201103617e-11,1.7,6.856998873093141e-11,0.1,6.872848453130494e-11,0.5,6.894283248626247e-11,0.9,6.930606514873275e-11,1.3,6.983358907702912e-11,1.7,6.743262031304749e-11,0.1,6.759077637303343e-11,0.5,6.78030747876959e-11,0.9,6.818558031317609e-11,1.3,6.868990839913018e-11,1.7
8.124427641109213e-11,0.1,8.140175336637969e-11,0.5,8.162412863125864e-11,0.9,8.199982654280934e-11,1.3,8.261154015966781e-11,1.7,8.208065239537781e-11,0.1,8.223612381764324e-11,0.5,8.24549757929276e-11,0.9,8.281937475649359e-11,1.3,8.343116190187547e-11,1.7,8.494585754135468e-11,0.1,8.506528420758337e-11,0.5,8.525420350470511e-11,0.9,8.557602756052196e-11,1.3,8.619078589588279e-11,1.7,7.951742647201234e-11,0.1,7.968292351181873e-11,0.5,7.991151862771324e-11,0.9,8.031147836637084e-11,1.3,8.091284171631743e-11,1.7,7.812252912984294e-11,0.1,7.82907941418751e-11,0.5,7.852056898621017e-11,0.9,7.894812974312404e-11,1.3,7.952815070719004e-11,1.7
9.421241676160701e-11,0.1,9.430333842333345e-11,0.5,9.445298795907784e-11,0.9,9.474626070509e-11,1.3,9.529643353638883e-11,1.7,9.527862610235666e-11,0.1,9.535723196872294e-11,0.5,9.549334658989578e-11,0.9,9.57649984125411e-11,1.3,9.630335609368431e-11,1.7,9.898029169105129e-11,0.1,9.897737138467803e-11,0.5,9.903373186309516e-11,0.9,9.921171674454586e-11,1.3,9.970449612896099e-11,1.7,9.203082757899952e-11,0.1,9.214478555175663e-11,0.5,9.231647049116567e-11,0.9,9.265349268999808e-11,1.3,9.32166128704864e-11,1.7,9.027781398730463e-11,0.1,9.040411328605327e-11,0.5,9.058818784804446e-11,0.9,9.096848242223641e-11,1.3,9.152774670898155e-11,1.7
1.100912649427086e-10,0.1,1.099953779504189e-10,0.5,1.099401256510535e-10,0.9,1.100056317551615e-10,1.3,1.103983748664347e-10,1.7,1.115065836783848e-10,0.1,1.113720023403725e-10,0.5,1.11277585949665e-10,0.9,1.112942738820208e-10,1.3,1.116447227799637e-10,1.7,1.165062236751232e-10,0.1,1.161693305953395e-10,0.5,1.158689307902314e-10,0.9,1.156685935764343e-10,1.3,1.158665854139801e-10,1.7,1.072300523238758e-10,0.1,1.07196627082352e-10,0.5,1.072070167556511e-10,0.9,1.07370603548006e-10,1.3,1.077622857652385e-10,1.7,1.04953741586275e-10,0.1,1.049607068681807e-10,0.5,1.050159750686949e-10,0.9,1.052667418606399e-10,1.3,1.056173687272541e-10,1.7
1.344586512288123e-10,0.1,1.32795999099502e-10,0.5,1.312553163003919e-10,0.9,1.297957813535096e-10,1.3,1.289081139591942e-10,1.7,1.370158360119317e-10,0.1,1.352788645333791e-10,0.5,1.334124937131781e-10,0.9,1.316934153842732e-10,1.3,1.305879764388946e-10,1.7,1.352652689714436e-10,0.1,1.352687102691485e-10,0.5,1.414025264225477e-10,0.9,1.382867984651395e-10,1.3,1.363057956366586e-10,1.7,1.291372121267028e-10,0.1,1.280434317568073e-10,0.5,1.269908604200936e-10,0.9,1.259885670679247e-10,1.3,1.254074050350341e-10,1.7,1.252425831625043e-10,0.1,1.244648905293612e-10,0.5,1.237103648964677e-10,0.9,1.230220714557422e-10,1.3,1.226109720248911e-10,1.7
1.531763337837061e-10,0.1,1.520340334989675e-10,0.5,1.513858133453856e-10,0.9,1.518806853520805e-10,1.3,1.549399879270086e-10,1.7,1.557561908339142e-10,0.1,1.5449238129854e-10,0.5,1.534452801017371e-10,0.9,1.534941160613426e-10,1.3,1.570370097394479e-10,1.7,1.539508204027048e-10,0.1,1.544801256067487e-10,0.5,1.614041496588606e-10,0.9,1.596764293441951e-10,1.3,1.613583902746923e-10,1.7,1.479417369357666e-10,0.1,1.474974182910632e-10,0.5,1.475213113563859e-10,0.9,1.490088294369539e-10,1.3,1.499069465427081e-10,1.7,1.443094341372326e-10,0.1,1.442986147658446e-10,0.5,1.448084273860796e-10,0.9,1.46655240732186e-10,1.3,1.459428283430181e-10,1.7
1.70287558371044e-10,0.1,1.693318250387822e-10,0.5,1.690350697718275e-10,0.9,1.702781047834085e-10,1.3,1.74821617054417e-10,1.7,1.730432780029743e-10,0.1,1.719318160624325e-10,0.5,1.71198130413865e-10,0.9,1.719391638455511e-10,1.3,1.76967900415237e-10,1.7,1.716825333693285e-10,0.1,1.724042126099992e-10,0.5,1.796752299951702e-10,0.9,1.784723040585744e-10,1.3,1.815299112217751e-10,1.7,1.647838441279721e-10,0.1,1.645961602016031e-10,0.5,1.650377745046312e-10,0.9,1.673945293787517e-10,1.3,1.697504220809329e-10,1.7,1.610382472511317e-10,0.1,1.613253573792771e-10,0.5,1.622951084709548e-10,0.9,1.651087075423279e-10,1.3,1.658628829155738e-10,1.7
1.884965616694463e-10,0.1,1.874042097365236e-10,0.5,1.870867239810271e-10,0.9,1.885423589908843e-10,1.3,1.937572654672909e-10,1.7,1.914474513340333e-10,0.1,1.903316936666553e-10,0.5,1.89508585859165e-10,0.9,1.903979945069919e-10,1.3,1.960843121776751e-10,1.7,1.899564192903573e-10,0.1,1.90912034823815e-10,0.5,1.989372103781853e-10,0.9,1.977411884502547e-10,1.3,2.013059533496012e-10,1.7,1.823146861427352e-10,0.1,1.821173055723913e-10,0.5,1.826403143042552e-10,0.9,1.853321160571237e-10,1.3,1.883587426263833e-10,1.7,1.781608885554275e-10,0.1,1.785022906233872e-10,0.5,1.796129297418572e-10,0.9,1.828467210799958e-10,1.3,1.84286221804575e-10,1.7
2.075890830936393e-10,0.1,2.064195733405945e-10,0.5,2.061747597541939e-10,0.9,2.080205376770801e-10,1.3,2.142216631234023e-10,1.7,2.10833726089704e-10,0.1,2.096077692712516e-10,0.5,2.08787555730163e-10,0.9,2.099846741626024e-10,1.3,2.167484162327108e-10,1.7,2.094617128662216e-10,0.1,2.104592479236609e-10,0.5,2.190512860310189e-10,0.9,2.178943043062238e-10,1.3,2.223235494172099e-10,1.7,2.008745712326395e-10,0.1,2.007295077736388e-10,0.5,2.014326192342648e-10,0.9,2.046849020792583e-10,1.3,2.081604958654988e-10,1.7,1.964400905691099e-10,0.1,1.969052076241164e-10,0.5,1.982723994916285e-10,0.9,2.020470806623945e-10,1.3,2.03656503659667e-10,1.7
2.300502427776719e-10,0.1,2.282536832655182e-10,0.5,2.275132861857946e-10,0.9,2.291800884805869e-10,1.3,2.358499889547656e-10,1.7,2.339916100822609e-10,0.1,2.320098260863934e-10,0.5,2.305160431243397e-10,0.9,2.313868798395735e-10,1.3,2.386123409895571e-10,1.7,2.324296363042668e-10,0.1,2.330618202818005e-10,0.5,2.425699225940377e-10,0.9,2.403825825254788e-10,1.3,2.448381192379977e-10,1.7,2.221379133541988e-10,0.1,2.216401247858839e-10,0.5,2.221246793188941e-10,0.9,2.254678657248663e-10,1.3,2.293006416748402e-10,1.7,2.17011669311029e-10,0.1,2.173015504997598e-10,0.5,2.185989283524506e-10,0.9,2.226045729059169e-10,1.3,2.24531336959629e-10,1.7
