IL,ITOT,VOUT,VDROP
0.0001,+1.731714E-04,0.71724455,0.761305434
0.0003,+1.603258E-04,0.708919576,0.708945579
0.0005,+1.574291E-04,0.657361002,0.656607057
0.001,+1.563316E-04,0.531529015,0.525751513
0.002,+1.560672E-04,0.27886274,0.264299138
0.003,+1.558644E-04,0.0185081087,0.00169717354
0.004,+1.556686E-04,-0.241002601,-0.259808163
0.005,+1.554876E-04,-0.498800798,-0.520651589
0.006,+1.553053E-04,-0.757260307,-0.782057377
0.007,+1.551508E-04,-1.00137306,-1.04370099
0.008,+1.550700E-04,-1.14084247,-1.30538147
0.009,+1.549647E-04,-1.20982839,-1.56705649
0.01,+1.548882E-04,-1.25659387,-1.82866323
