IL,ITOT,VOUT,VDROP
0.0001,+3.613294E-04,0.220241248,0.264586013
0.0003,+3.099666E-04,0.212730051,0.211276913
0.0005,+2.761968E-04,0.161778651,0.158926001
0.001,+2.287718E-04,0.0363517956,0.0281289865
0.002,+1.980392E-04,-0.2154507,-0.233397882
0.003,+1.902770E-04,-0.473108879,-0.494269579
0.004,+1.873395E-04,-0.73123932,-0.755684587
0.005,+1.858032E-04,-0.962710593,-1.01738858
0.006,+1.853470E-04,-1.07898107,-1.27907749
0.007,+1.852336E-04,-1.13950748,-1.54074865
0.008,+1.849979E-04,-1.18181608,-1.80244069
0.009,+1.848335E-04,-1.21517964,-2.06392513
0.01,+1.847042E-04,-1.24321014,-2.32560799
