VIN,ITOT,VOUT,VDROP
1.8,+1.590941E-04,-0.419595695,-0.39487176
1.775,+1.551941E-04,-0.394535852,-0.394875362
1.75,+1.518857E-04,-0.39324508,-0.394881131
1.725,+1.487465E-04,-0.392781996,-0.394866981
1.7,+1.456682E-04,-0.392547852,-0.394883488
1.675,+1.426604E-04,-0.392426122,-0.394875918
1.65,+1.396912E-04,-0.392349453,-0.394852242
1.625,+1.367059E-04,-0.392266135,-0.394836436
1.6,+1.337763E-04,-0.392209943,-0.394869505
1.575,+1.308742E-04,-0.392200392,-0.394857635
1.55,+1.280072E-04,-0.39217016,-0.394870289
1.525,+1.252242E-04,-0.392143741,-0.39485071
1.5,+1.224211E-04,-0.392128757,-0.394870353
1.475,+1.196807E-04,-0.392147123,-0.394901115
1.45,+1.169504E-04,-0.392140238,-0.394888595
1.425,+1.142814E-04,-0.392115475,-0.394874028
1.4,+1.116230E-04,-0.392096993,-0.394864635
1.375,+1.090055E-04,-0.392109829,-0.394853109
1.35,+1.064441E-04,-0.392082904,-0.394845348
1.325,+1.039206E-04,-0.392079223,-0.394863175
1.3,+1.014124E-04,-0.392075894,-0.3948915
1.275,+9.898633E-05,-0.392062143,-0.394882593
1.25,+9.661228E-05,-0.392054173,-0.394856932
1.225,+9.427863E-05,-0.392032831,-0.394842665
1.2,+9.201116E-05,-0.392040859,-0.394866014
1.175,+8.979591E-05,-0.392025595,-0.394868321
1.15,+8.767304E-05,-0.392032549,-0.394858149
1.125,+8.553787E-05,-0.39201655,-0.394855139
1.1,+8.353945E-05,-0.392033747,-0.394870011
1.075,+8.153720E-05,-0.392025636,-0.394853312
1.05,+7.964789E-05,-0.391986307,-0.394863681
1.025,+7.775710E-05,-0.392018698,-0.394893031
1.0,+7.591521E-05,-0.39199572,-0.394876391
