time,IL
0,0.0001
9.999999999999999e-12,0.0001
1.188359883666517e-11,0.0001037483616849637
1.565079650999551e-11,0.0001112450850548911
1.857954513346866e-11,0.0001170732948156026
2.244472624652039e-11,0.0001247650052305756
2.928907461304806e-11,0.0001383852584799656
3.933404839177617e-11,0.0001583747562996346
4.889898515827347e-11,0.0001774089804649642
5.868145149921654e-11,0.0001968760884834409
6.894283248626247e-11,0.0002172962366476623
7.991151862771324e-11,0.0002391239220691493
9.231647049116567e-11,0.0002638097762774197
1.072070167556511e-10,0.0002934419633437456
1.269908604200936e-10,0.0003328118122359863
1.475213113563859e-10,0.000373667409599208
1.650377745046312e-10,0.000408525171264216
1.826403143042552e-10,0.0004435542254654679
2.014326192342648e-10,0.000480950912276187
2.221246793188941e-10,0.0005221281118445993
2.478174871837315e-10,0.0005732567994956256
2.721495576814853e-10,0.0006216776197861557
2.951303572017665e-10,0.0006674094108315154
3.197665921275337e-10,0.0007164355183337921
3.495856660602941e-10,0.0007757754754599853
4.054688501353638e-10,0.0008869830117693739
4.521286055440035e-10,0.0009798359250325669
5.0375552273669e-10,0.001082573490246013
5.687216778659155e-10,0.001211856138953172
6.33801289603551e-10,0.001341364566311067
7.078781562335517e-10,0.001488777530904768
8.045257966791141e-10,0.001681106335391437
9.310467206213449e-10,0.001932882974036477
1.097848726280113e-09,0.002264818965297424
1.229639602595775e-09,0.002527082809165593
1.3501300429427e-09,0.002766858785455972
1.476164212609441e-09,0.003017666783092788
1.620609755385448e-09,0.003305113413217042
1.830458835316602e-09,0.003722713082280037
2.116275196462782e-09,0.004291487640960936
2.390288911973371e-09,0.004836774934827008
2.632617731953295e-09,0.005319009286587057
2.853316984594427e-09,0.00575820079934291
3.058828045571883e-09,0.006167167810688048
3.256364487250972e-09,0.006560265329629434
3.452471451269658e-09,0.006950518188026619
3.653539810053985e-09,0.007350644222007431
3.869357946709277e-09,0.007780122313951462
4.060721623333448e-09,0.008160936030433561
4.240357754611113e-09,0.008518411931676117
4.409373898447706e-09,0.008854754057910936
4.57884125022663e-09,0.009191994087950994
4.759510686641015e-09,0.00955152626641562
4.94578097358644e-09,0.009922204137437017
5.121750241954444e-09,0.01027238298148934
5.290405993139389e-09,0.01060800792634739
5.454993922151339e-09,0.01093553790508116
5.617825185906066e-09,0.01125957211995307
5.781561341429437e-09,0.01158540706944458
5.948867601095241e-09,0.01191834652617953
6.123219948947934e-09,0.01226530769840639
6.310068948034795e-09,0.01263713720658924
6.480600480314494e-09,0.01297649495582584
6.638709036724585e-09,0.01329113098308192
6.793557241642836e-09,0.01359927891086924
6.950183854697431e-09,0.01391096587084789
7.114863899442232e-09,0.01423867915989004
7.295314074190287e-09,0.01459777500763867
7.501794739915199e-09,0.01500867153243125
7.754084528101011e-09,0.01551072821092101
8.00023715357778e-09,0.01600057193561978
8.236098247830596e-09,0.01646993551318289
8.461117414832673e-09,0.01691772365551702
8.672736918101921e-09,0.01733884646702282
8.873533033042827e-09,0.01773843073575523
9.067210379451661e-09,0.01812384865510881
9.257900100620993e-09,0.01850332120023578
9.45069329211474e-09,0.01888697965130833
9.652428821315953e-09,0.01928843335441875
9.864743832259667e-09,0.01971094022619674
1.001e-08,0.02
1.002206956096115e-08,0.02
1.00341144037229e-08,0.02
1.004714332630095e-08,0.02
1.006458965360646e-08,0.02
1.008021931148471e-08,0.02
1.009505949743692e-08,0.02
1.011119977949636e-08,0.02
1.012960633206789e-08,0.02
1.015218671153248e-08,0.02
1.018233877256837e-08,0.02
1.023050129816883e-08,0.02
1.030614040884403e-08,0.02
1.037408180134935e-08,0.02
1.044969865307732e-08,0.02
1.05388171931871e-08,0.02
1.064219660048527e-08,0.02
1.0761704982255e-08,0.02
1.088928498675336e-08,0.02
1.102721934400112e-08,0.02
1.117255642274967e-08,0.02
1.130544803543866e-08,0.02
1.14352004268377e-08,0.02
1.157141151695973e-08,0.02
1.172351813209215e-08,0.02
1.1907846241913e-08,0.02
1.211070613123989e-08,0.02
1.233129596246293e-08,0.02
1.257553897381046e-08,0.02
1.284232797816311e-08,0.02
1.312244129828262e-08,0.02
1.339038704479241e-08,0.02
1.364967174992145e-08,0.02
1.390656210482984e-08,0.02
1.416787784037641e-08,0.02
1.444403024822303e-08,0.02
1.475120934276178e-08,0.02
1.505704216212571e-08,0.02
1.537161314635625e-08,0.02
1.569453596855701e-08,0.02
1.603241219640657e-08,0.02
1.640178491478542e-08,0.02
1.676703420070855e-08,0.02
1.714248010260116e-08,0.02
1.754553685868596e-08,0.02
1.800231095764235e-08,0.02
1.84930114703254e-08,0.02
1.899404644098868e-08,0.02
1.952148591826997e-08,0.02
2.008425020353784e-08,0.02
2.063954684600612e-08,0.02
2.123973125031896e-08,0.02
2.195129132046387e-08,0.02
2.269431133069825e-08,0.02
2.349603896692564e-08,0.02
2.433724928838669e-08,0.02
2.525466048943616e-08,0.02
2.637054337634617e-08,0.02
2.758124920147615e-08,0.02
2.891725508425203e-08,0.02
3.047406081231662e-08,0.02
3.241294692224068e-08,0.02
3.472960512485069e-08,0.02
3.760772617226063e-08,0.02
4.145251953185825e-08,0.02
4.666261659198319e-08,0.02
5.476794816131873e-08,0.02
6.485586196997944e-08,0.02
7.401890666872517e-08,0.02
8.918034112629841e-08,0.02
1.027087062730565e-07,0.02
1.171353831397173e-07,0.02
1.352938833064168e-07,0.02
1.582364538324153e-07,0.02
1.884990399200718e-07,0.02
2.288671705042097e-07,0.02
2.837132082394927e-07,0.02
3.645963502044766e-07,0.02
4.645963502044766e-07,0.02
5.645963502044767e-07,0.02
