IL,ITOT,VOUT,VDROP
0.0001,+3.752301E-03,1.49463584,0.708333768
0.0003,+3.943135E-03,1.49480775,0.65641634
0.0005,+4.139481E-03,1.49488896,0.604486156
0.001,+4.631422E-03,1.49479602,0.474631594
0.002,+5.620572E-03,1.49486085,0.214182379
0.003,+6.607355E-03,1.49497303,-0.0454206136
0.004,+7.590155E-03,1.49506487,-0.304229897
0.005,+8.575335E-03,1.49499381,-0.563858643
0.006,+9.560269E-03,1.49498434,-0.823550725
0.007,+1.049989E-02,1.49498028,-1.08321535
0.008,+1.049987E-02,1.41331733,-1.34263528
0.009,+1.049988E-02,1.19402767,-1.60228884
0.01,+1.049987E-02,0.964536997,-1.86196143
