"Ref. Voltage (VREF=0.6,Temp=27) X","Ref. Voltage (VREF=0.6,Temp=27) Y","Ref. Voltage (VREF=0.6,Temp=125) X","Ref. Voltage (VREF=0.6,Temp=125) Y","Ref. Voltage (VREF=0.6,Temp=-55) X","Ref. Voltage (VREF=0.6,Temp=-55) Y","Ref. Voltage (VREF=0.6,Temp=-180) X","Ref. Voltage (VREF=0.6,Temp=-180) Y","Ref. Voltage (VREF=0.7,Temp=27) X","Ref. Voltage (VREF=0.7,Temp=27) Y","Ref. Voltage (VREF=0.7,Temp=125) X","Ref. Voltage (VREF=0.7,Temp=125) Y","Ref. Voltage (VREF=0.7,Temp=-55) X","Ref. Voltage (VREF=0.7,Temp=-55) Y","Ref. Voltage (VREF=0.7,Temp=-180) X","Ref. Voltage (VREF=0.7,Temp=-180) Y","Ref. Voltage (VREF=0.8,Temp=27) X","Ref. Voltage (VREF=0.8,Temp=27) Y","Ref. Voltage (VREF=0.8,Temp=125) X","Ref. Voltage (VREF=0.8,Temp=125) Y","Ref. Voltage (VREF=0.8,Temp=-55) X","Ref. Voltage (VREF=0.8,Temp=-55) Y","Ref. Voltage (VREF=0.8,Temp=-180) X","Ref. Voltage (VREF=0.8,Temp=-180) Y","Ref. Voltage (VREF=0.9,Temp=27) X","Ref. Voltage (VREF=0.9,Temp=27) Y","Ref. Voltage (VREF=0.9,Temp=125) X","Ref. Voltage (VREF=0.9,Temp=125) Y","Ref. Voltage (VREF=0.9,Temp=-55) X","Ref. Voltage (VREF=0.9,Temp=-55) Y","Ref. Voltage (VREF=0.9,Temp=-180) X","Ref. Voltage (VREF=0.9,Temp=-180) Y","Ref. Voltage (VREF=1,Temp=27) X","Ref. Voltage (VREF=1,Temp=27) Y","Ref. Voltage (VREF=1,Temp=125) X","Ref. Voltage (VREF=1,Temp=125) Y","Ref. Voltage (VREF=1,Temp=-55) X","Ref. Voltage (VREF=1,Temp=-55) Y","Ref. Voltage (VREF=1,Temp=-180) X","Ref. Voltage (VREF=1,Temp=-180) Y"
8.822483866678898e-06,0.6,1.100931919668221e-05,0.6,1.000569187462247e-05,0.6,5.031741018615634e-06,0.6,1.000590490837663e-05,0.7,1.102039917740719e-05,0.7,1.000592541146642e-05,0.7,5.024763439944975e-06,0.7,1.000615497865448e-05,0.8,1.102206774760359e-05,0.8,1.000643255015507e-05,0.8,5.023172011134054e-06,0.8,1.000680117107017e-05,0.9,1.107132491368654e-05,0.9,1.000896708766662e-05,0.9,5.025189984903554e-06,0.9,1.000925626134892e-05,1,1.117968587263099e-05,1,1.002538113762228e-05,1,5.029986227740138e-06,1
8.847333212076018e-06,0.6,1.100969238057292e-05,0.6,1.000571023897641e-05,0.6,5.031987452147469e-06,0.6,1.00059229987716e-05,0.7,1.102047904333911e-05,0.7,1.000594195112987e-05,0.7,5.024989171784608e-06,0.7,1.000618038065846e-05,0.8,1.102258116106975e-05,0.8,1.000647343992189e-05,0.8,5.023282255468112e-06,0.8,1.000686693459119e-05,0.9,1.10803704099714e-05,0.9,1.000916193179788e-05,0.9,5.025283138637588e-06,0.9,1.00094317251703e-05,1,1.119459379341406e-05,1,1.002670990738727e-05,1,5.030074042987559e-06,1
8.878390245020474e-06,0.6,1.101009005876109e-05,0.6,1.000572467451184e-05,0.6,5.032309069552742e-06,0.6,1.000594071929234e-05,0.7,1.10206148087493e-05,0.7,1.000596022114549e-05,0.7,5.025220193533918e-06,0.7,1.000621083575962e-05,0.8,1.10231542536197e-05,0.8,1.000651992341656e-05,0.8,5.023431245960029e-06,0.8,1.000693642085605e-05,0.9,1.109015036561522e-05,0.9,1.00093315712816e-05,0.9,5.025350362879443e-06,0.9,1.000958809000632e-05,1,1.120985752215588e-05,1,1.002827282539805e-05,1,5.030155825989693e-06,1
8.919215995109865e-06,0.6,1.101051937919695e-05,0.6,1.000573510875978e-05,0.6,5.032674479164606e-06,0.6,1.000595956014079e-05,0.7,1.102076081183916e-05,0.7,1.000598158713984e-05,0.7,5.025355148513587e-06,0.7,1.000624859334927e-05,0.8,1.102379099837907e-05,0.8,1.000656651404332e-05,0.8,5.023550069452537e-06,0.8,1.000701097712041e-05,0.9,1.109931873903589e-05,0.9,1.000947081086693e-05,0.9,5.025428726734643e-06,0.9,1.000974317466177e-05,1,1.122438903807725e-05,1,1.003059724795309e-05,1,5.0302486709929e-06,1
8.976335798768564e-06,0.6,1.101098869859784e-05,0.6,1.000574914026789e-05,0.6,5.033104890730998e-06,0.6,1.000598043848523e-05,0.7,1.10209500934157e-05,0.7,1.0006e-05,0.7,5.025415292197347e-06,0.7,1.000628439384873e-05,0.8,1.102451057417261e-05,0.8,1.000661109456311e-05,0.8,5.023659132815816e-06,0.8,1.000709149581272e-05,0.9,1.110709010957421e-05,0.9,1.000960405692736e-05,0.9,5.025509057962962e-06,0.9,1.000992302390776e-05,1,1.123961948382002e-05,1,1.003249708318942e-05,1,5.030336613587678e-06,1
9.064707152431731e-06,0.6,1.101150655203323e-05,0.6,1.000576970427129e-05,0.6,5.03364769256848e-06,0.6,1.0006e-05,0.7,1.10211556228224e-05,0.7,1.000600179638572e-05,0.7,5.025478700644403e-06,0.7,1.000631422977988e-05,0.8,1.102534423419883e-05,0.8,1.000665771538127e-05,0.8,5.023738666427819e-06,0.8,1.000717883077394e-05,0.9,1.111342130883711e-05,0.9,1.000975733344576e-05,0.9,5.02559654129088e-06,0.9,1.00101649905363e-05,1,1.125650945025971e-05,1,1.003490522392762e-05,1,5.030409512523492e-06,1
9.230938452448702e-06,0.6,1.101208424872929e-05,0.6,1.000578729830761e-05,0.6,5.034395881797513e-06,0.6,1.000600195912745e-05,0.7,1.102139209410252e-05,0.7,1.00060035350948e-05,0.7,5.02554649565135e-06,0.7,1.000634222973223e-05,0.8,1.102634785141526e-05,0.8,1.000670788499242e-05,0.8,5.023834244917107e-06,0.8,1.000727410622085e-05,0.9,1.111712158880449e-05,0.9,1.000995897858956e-05,0.9,5.02572166672238e-06,0.9,1.00104798794434e-05,1,1.127608331348775e-05,1,1.003838121197616e-05,1,5.030480788838085e-06,1
9.440938452448702e-06,0.6,1.101273888080179e-05,0.6,1.000580068667971e-05,0.6,5.035348231599444e-06,0.6,1.000600385204244e-05,0.7,1.102168778418942e-05,0.7,1.000600550723386e-05,0.7,5.025599083111257e-06,0.7,1.00063709984028e-05,0.8,1.10276187096767e-05,0.8,1.000676176001912e-05,0.8,5.023964761311811e-06,0.8,1.000737903637389e-05,0.9,1.112061284940453e-05,0.9,1.00101973280214e-05,0.9,5.025888514074568e-06,0.9,1.00108604079141e-05,1,1.129951914036207e-05,1,1.004164473870283e-05,1,5.030574835561068e-06,1
9.650938452448702e-06,0.6,1.101349022633231e-05,0.6,1.000581356437753e-05,0.6,5.036168632242209e-06,0.6,1.000600598258873e-05,0.7,1.102208887820606e-05,0.7,1.000600708153289e-05,0.7,5.025646148333556e-06,0.7,1.000640248210562e-05,0.8,1.102937047577282e-05,0.8,1.0006819789745e-05,0.8,5.024062211291235e-06,0.8,1.000749603324325e-05,0.9,1.11243219274038e-05,0.9,1.001044055873971e-05,0.9,5.026063360050777e-06,0.9,1.001131770916044e-05,1,1.132742536410601e-05,1,1.004749660108623e-05,1,5.030664355727645e-06,1
9.860938452448701e-06,0.6,1.101437296686832e-05,0.6,1.000582711284369e-05,0.6,5.037058404098865e-06,0.6,1.000600767764566e-05,0.7,1.102260364710532e-05,0.7,1.000600920914034e-05,0.7,5.02569490997367e-06,0.7,1.000643853747565e-05,0.8,1.103185809870467e-05,0.8,1.000688254665376e-05,0.8,5.024173422381849e-06,0.8,1.000762848473246e-05,0.9,1.112893111529172e-05,0.9,1.001068402160517e-05,0.9,5.026242377689874e-06,0.9,1.001178204024109e-05,1,1.136382490293596e-05,1,1.005331630606273e-05,1,5.030772551403537e-06,1
