IQ (VREF=0.6) X,IQ (VREF=0.6) Y,IQ (VREF=0.7) X,IQ (VREF=0.7) Y,IQ (VREF=0.8) X,IQ (VREF=0.8) Y,IQ (VREF=0.9) X,IQ (VREF=0.9) Y,IQ (VREF=1) X,IQ (VREF=1) Y
-180,0.0001123991582829696,-180,0.0001123386077360182,-180,0.0001122839601133502,-180,0.0001121892105535317,-180,0.0001117811685347202
-55,0.0001932086087960209,-55,0.0001932196114345193,-55,0.000193215601686146,-55,0.0001931723674644096,-55,0.0001923381670747452
27,0.0002275092448550947,27,0.000227390458805446,27,0.0002272090889746521,27,0.0002268020897484237,27,0.0002245790322730216
125,0.0002805838147329194,125,0.0002805074570176735,125,0.0002802908138059,125,0.0002795619027708363,125,0.0002762940616036936
