Output Voltage (Temp=27) X,Output Voltage (Temp=27) Y,Output Voltage (Temp=125) X,Output Voltage (Temp=125) Y,Output Voltage (Temp=-55) X,Output Voltage (Temp=-55) Y,Output Voltage (Temp=-180) X,Output Voltage (Temp=-180) Y
0,-0.5063184617797002,0,-0.4789652978354799,0,1.199833514084608,0,-0.51259064722981
5e-09,-0.5063184604667141,5e-09,-0.4789652977229317,5e-09,1.199833514084608,5e-09,-0.51259064722981
5.004490802355871e-09,-0.5063192611195529,5.005237336969276e-09,-0.4789663733263022,5.004807198829715e-09,1.199833298044758,5.004651280001945e-09,-0.5125915929177441
5.008125357513234e-09,-0.50632035922179,5.00934302400715e-09,-0.4789677614928788,5.008495732299429e-09,1.199833065594757,5.008187219675262e-09,-0.5125927988970173
5.010122893312983e-09,-0.50632120592228,5.01149173758758e-09,-0.4789687511443172,5.01051879553533e-09,1.199832912987668,5.010223582284124e-09,-0.5125937756903987
5.012183817257528e-09,-0.5063222972036023,5.013702787607123e-09,-0.4789699886580188,5.012603463328244e-09,1.199832743472513,5.012319243691045e-09,-0.5125950472504167
5.014549683427625e-09,-0.5063238315298835,5.016261743308613e-09,-0.4789716922716067,5.014981235045491e-09,1.199832547301589,5.014685438174505e-09,-0.5125968277386785
5.017095697145221e-09,-0.5063257959679146,5.019192285280834e-09,-0.4789739476081866,5.017483769058867e-09,1.1998323536275,5.017045868495764e-09,-0.5125989561994063
5.019872748680451e-09,-0.5063282453395367,5.022380657552189e-09,-0.4789766613458603,5.020226480751721e-09,1.199832176043387,5.019637255345916e-09,-0.5126016480655138
5.023066591441582e-09,-0.5063313274579342,5.026034626804836e-09,-0.4789799173380845,5.023398953738705e-09,1.199832038307111,5.022643981851306e-09,-0.5126051188987084
5.026811511611597e-09,-0.506335072738572,5.030228314360952e-09,-0.4789835867115554,5.027150168097804e-09,1.199831986712892,5.026219331695128e-09,-0.5126094938684894
5.030815049202219e-09,-0.5063389617503581,5.034498051119238e-09,-0.478987039837224,5.031163661602502e-09,1.199832059028958,5.030362385824739e-09,-0.5126145248861527
5.034970473687762e-09,-0.5063426518150739,5.038982833811173e-09,-0.4789902765664584,5.035327032187837e-09,1.199832234679407,5.034602791560052e-09,-0.5126192779341714
5.039389880248295e-09,-0.5063461040029047,5.043800606923358e-09,-0.4789934278789644,5.039756530254176e-09,1.199832461417013,5.039061236890846e-09,-0.5126236223573772
5.04416073169654e-09,-0.5063494226313594,5.049034654278402e-09,-0.4789968270323415,5.04453891508626e-09,1.199832656796561,5.043848256518692e-09,-0.5126275780547137
5.049377190558318e-09,-0.5063529723792264,5.054795294753597e-09,-0.4790010630842987,5.04977014626709e-09,1.199832723741926,5.049043380655005e-09,-0.5126314214349316
5.055144300396507e-09,-0.5063573955630858,5.061184733648902e-09,-0.4790068046399763,5.0555573559468e-09,1.199832591377751,5.054754952328848e-09,-0.512635794873551
5.061565487543493e-09,-0.5063634241406711,5.068315958549624e-09,-0.4790144545936229,5.062006314665374e-09,1.199832278111411,5.061089223135043e-09,-0.512641533114828
5.068762520194384e-09,-0.5063714696580507,5.076323061521331e-09,-0.4790237949369442,5.069240839564995e-09,1.199831932729721,5.068154019017432e-09,-0.5126492010448025
