VIN,ITOT,VOUT,VDROP
1.8,+3.796775E-03,1.49341618,0.696805337
1.775,+3.777034E-03,1.4927725,0.696808295
1.75,+3.762596E-03,1.49250711,0.696788671
1.725,+3.745095E-03,1.49272889,0.696810435
1.7,+3.727715E-03,1.4922141,0.696788076
1.675,+3.711002E-03,1.49241133,0.696801384
1.65,+3.694414E-03,1.49197489,0.696819536
1.625,+3.677169E-03,1.49242459,0.696806782
1.6,+3.656066E-03,1.49143798,0.696834353
1.575,+3.636630E-03,1.49106135,0.69683887
1.55,+3.620052E-03,1.49115834,0.696831595
1.525,+3.600785E-03,1.49101576,0.696817743
1.5,+3.588588E-03,1.49039019,0.696841967
1.475,+3.441459E-03,1.4663356,0.696843883
1.45,+3.282211E-03,1.44142168,0.696835929
1.425,+3.126555E-03,1.41653714,0.696846813
1.4,+2.974840E-03,1.39160215,0.696846507
1.375,+2.829401E-03,1.36670875,0.696858788
1.35,+2.689190E-03,1.34177561,0.696811422
1.325,+2.555826E-03,1.31687846,0.696848047
1.3,+2.428720E-03,1.29193923,0.696863092
1.275,+2.307467E-03,1.26702647,0.696847883
1.25,+2.191758E-03,1.24209545,0.696858435
1.225,+2.080615E-03,1.21719807,0.696869157
1.2,+1.973334E-03,1.19229605,0.696863686
1.175,+1.868295E-03,1.16737343,0.696821366
1.15,+1.765761E-03,1.14245924,0.696887582
1.125,+1.664783E-03,1.11754339,0.69686092
1.1,+1.564976E-03,1.09261648,0.696823181
1.075,+1.465763E-03,1.0676879,0.696867006
1.05,+1.367106E-03,1.04278712,0.696871106
1.025,+1.268906E-03,1.01785782,0.69684875
1.0,+1.171079E-03,0.992977321,0.696867598
