IL,ITOT,VOUT,VDROP
0.0001,+3.794893E-03,1.69167078,0.814448647
0.0003,+3.960538E-03,1.69181607,0.761831346
0.0005,+4.151236E-03,1.69175939,0.709219845
0.001,+4.644382E-03,1.69169902,0.577633581
0.002,+5.636011E-03,1.69179737,0.314483423
0.003,+6.630726E-03,1.69183518,0.0505584895
0.004,+7.620381E-03,1.69184182,-0.212423863
0.005,+8.609193E-03,1.69183013,-0.474665574
0.006,+9.600434E-03,1.69183224,-0.737746883
0.007,+1.049989E-02,1.69180265,-1.00085933
0.008,+1.049989E-02,1.54130404,-1.26396166
0.009,+1.049989E-02,1.33151772,-1.52689088
0.01,+1.049988E-02,1.08857404,-1.79003551
