IL,ITOT,VOUT,VDROP
0.0001,+3.018545E-03,1.09513819,0.514078417
0.0003,+3.196000E-03,1.09508895,0.461778166
0.0005,+3.391502E-03,1.09515256,0.409269858
0.001,+3.887208E-03,1.09507873,0.277903289
0.002,+4.884464E-03,1.09502395,0.0142485464
0.003,+5.876833E-03,1.0948673,-0.248288449
0.004,+6.866204E-03,1.09476237,-0.510149275
0.005,+7.857702E-03,1.09484348,-0.772540948
0.006,+8.850123E-03,1.09477906,-1.03521033
0.007,+9.841539E-03,1.09479702,-1.29788505
0.008,+1.049990E-02,1.09415946,-1.56060693
0.009,+1.049988E-02,1.04100908,-1.82326539
0.01,+1.049988E-02,0.772736149,-2.08572493
