IL,ITOT,VOUT,VDROP
0.0001,+2.634293E-03,0.895869867,0.414515879
0.0003,+2.814969E-03,0.89582652,0.361966742
0.0005,+3.010264E-03,0.895832938,0.309420137
0.001,+3.511293E-03,0.895649784,0.177123254
0.002,+4.504022E-03,0.89552658,-0.0854626083
0.003,+5.495628E-03,0.895413052,-0.347227234
0.004,+6.488773E-03,0.895269905,-0.609728106
0.005,+7.480119E-03,0.895204469,-0.872340558
0.006,+8.473718E-03,0.89550231,-1.1349937
0.007,+9.466047E-03,0.895281126,-1.39770254
0.008,+1.045848E-02,0.895423194,-1.66036416
0.009,+1.049990E-02,0.894271993,-1.92283378
0.01,+1.049987E-02,0.676954499,-2.18550379
