IL,ITOT,VOUT,VDROP
0.0001,+2.731884E-03,0.995233088,0.468675877
0.0003,+2.925392E-03,0.995071642,0.416922009
0.0005,+3.120611E-03,0.995046757,0.365217099
0.001,+3.612793E-03,0.995038763,0.235173025
0.002,+4.588949E-03,0.995297009,-0.0233883257
0.003,+5.562025E-03,0.994874172,-0.281142249
0.004,+6.539654E-03,0.995345627,-0.539766772
0.005,+7.516885E-03,0.995165515,-0.798353484
0.006,+8.494052E-03,0.995516473,-1.05692623
0.007,+9.468180E-03,0.995484742,-1.315284
0.008,+1.044739E-02,0.995384124,-1.57379661
0.009,+1.049991E-02,0.990304251,-1.83231896
0.01,+1.049990E-02,0.737099179,-2.09081689
