IL,ITOT,VOUT,VDROP
0.0001,+4.057845E-03,1.6940513,0.812575462
0.0003,+4.251323E-03,1.69416459,0.76081029
0.0005,+4.446222E-03,1.69418242,0.709097994
0.001,+4.935227E-03,1.69415288,0.579771656
0.002,+5.912327E-03,1.69419984,0.321100888
0.003,+6.892449E-03,1.69446459,0.0617957733
0.004,+7.869031E-03,1.69454778,-0.196716363
0.005,+8.843097E-03,1.69450127,-0.454548107
0.006,+9.820269E-03,1.69452181,-0.713130388
0.007,+1.049992E-02,1.67325326,-0.971639489
0.008,+1.049992E-02,1.51674519,-1.23020193
0.009,+1.049992E-02,1.32091956,-1.48865358
0.01,+1.049991E-02,1.08271942,-1.7472056
