VIN,ITOT,VOUT,VDROP
1.8,+5.716271E-03,0.998702959,-0.297169507
1.775,+5.668992E-03,0.998447122,-0.297158045
1.75,+5.647549E-03,0.998133553,-0.297154898
1.725,+5.630340E-03,0.997919841,-0.297157909
1.7,+5.614445E-03,0.997637021,-0.297174193
1.675,+5.598260E-03,0.997491427,-0.297157625
1.65,+5.583081E-03,0.997200253,-0.297157625
1.625,+5.567373E-03,0.997037291,-0.297155749
1.6,+5.552441E-03,0.996846721,-0.297125837
1.575,+5.536602E-03,0.996807239,-0.297159694
1.55,+5.521715E-03,0.996536647,-0.297168119
1.525,+5.507060E-03,0.996332256,-0.297165023
1.5,+5.491659E-03,0.996144255,-0.297149528
1.475,+5.476279E-03,0.996141615,-0.297145108
1.45,+5.460842E-03,0.995901686,-0.297133424
1.425,+5.447078E-03,0.995752176,-0.297134636
1.4,+5.431929E-03,0.995721632,-0.297149391
1.375,+5.415736E-03,0.995511791,-0.297152227
1.35,+5.401401E-03,0.995350518,-0.297125115
1.325,+5.385778E-03,0.995327094,-0.297156847
1.3,+5.370819E-03,0.995314958,-0.297143679
1.275,+5.355401E-03,0.995119206,-0.297155588
1.25,+5.338666E-03,0.995091056,-0.297170652
1.225,+5.322457E-03,0.994975495,-0.297158309
1.2,+5.306134E-03,0.994825137,-0.297132815
1.175,+5.288414E-03,0.994738793,-0.297155137
1.15,+5.270735E-03,0.994537433,-0.297149733
1.125,+5.251968E-03,0.9944483,-0.297169751
1.1,+5.230826E-03,0.994319292,-0.297123889
1.075,+5.209052E-03,0.994116079,-0.297137399
1.05,+5.185916E-03,0.993837255,-0.297150367
1.025,+5.160930E-03,0.993513747,-0.297164831
1.0,+5.089486E-03,0.982018386,-0.297151682
