IL,ITOT,VOUT,VDROP
0.0001,+3.358564E-03,1.29404703,0.609463591
0.0003,+3.551975E-03,1.29422869,0.557645457
0.0005,+3.748008E-03,1.2941671,0.50582856
0.001,+4.238339E-03,1.29410884,0.376302375
0.002,+5.224123E-03,1.29377801,0.116631246
0.003,+6.208867E-03,1.29381614,-0.142275096
0.004,+7.189064E-03,1.29377063,-0.400558236
0.005,+8.172427E-03,1.29377579,-0.65960691
0.006,+9.156808E-03,1.29369975,-0.918307393
0.007,+1.013981E-02,1.29393416,-1.17727788
0.008,+1.049988E-02,1.2920814,-1.43627871
0.009,+1.049987E-02,1.09157004,-1.69528947
0.01,+1.049987E-02,0.870612338,-1.95425891
