IL,ITOT,VOUT,VDROP
0.0001,+3.741438E-03,1.49394611,0.707907843
0.0003,+3.934371E-03,1.49437384,0.65609046
0.0005,+4.131020E-03,1.49401665,0.60428618
0.001,+4.624781E-03,1.49448881,0.474732648
0.002,+5.610744E-03,1.49427179,0.215004282
0.003,+6.593584E-03,1.49429622,-0.0439674971
0.004,+7.573770E-03,1.49429176,-0.302134887
0.005,+8.557092E-03,1.49434967,-0.561130031
0.006,+9.542198E-03,1.49440833,-0.820178557
0.007,+1.049989E-02,1.49426502,-1.0791527
0.008,+1.049988E-02,1.41974683,-1.33792298
0.009,+1.049987E-02,1.19706084,-1.59693364
0.01,+1.049987E-02,0.966966339,-1.85591736
