IL,ITOT,VOUT,VDROP
0.0001,+2.587825E-03,0.894874596,0.412832714
0.0003,+2.781746E-03,0.894692983,0.361017378
0.0005,+2.979682E-03,0.894702028,0.309225656
0.001,+3.472646E-03,0.894514582,0.178888173
0.002,+4.459057E-03,0.894445173,-0.0800189295
0.003,+5.439740E-03,0.894691539,-0.338304881
0.004,+6.421286E-03,0.894469106,-0.597125266
0.005,+7.405157E-03,0.894511328,-0.856068998
0.006,+8.390031E-03,0.894530178,-1.11501533
0.007,+9.373648E-03,0.894495162,-1.37401455
0.008,+1.035502E-02,0.894458429,-1.63298222
0.009,+1.049988E-02,0.892149473,-1.89171434
0.01,+1.049986E-02,0.674381532,-2.15069626
