IL,VOUT
1e-09,0.5024726679001462
1.258925411794167e-09,0.5024726537118265
1.584893192461114e-09,0.5024726358493901
1.9952623149688803e-09,0.5024726133658446
2.511886431509581e-09,0.5024725850669677
3.1622776601683803e-09,0.5024725494506607
3.981071705534974e-09,0.5024725046280145
5.0118723362727255e-09,0.5024724482244
6.3095734448019354e-09,0.5024723772556557
7.943282347242819e-09,0.5024722879733575
1.000000000000001e-08,0.5024721756718173
1.2589254117941681e-08,0.502472034447945
1.5848931924611153e-08,0.5024718569033592
1.9952623149688813e-08,0.5024716337763562
2.511886431509582e-08,0.5024713534895192
3.1622776601683825e-08,0.50247100159726
3.9810717055349776e-08,0.5024705601168705
5.0118723362727296e-08,0.5024700067274739
6.30957344480194e-08,0.502469313824805
7.943282347242826e-08,0.5024684474277936
1.000000000000001e-07,0.5024673659478945
1.258925411794169e-07,0.5024660188574644
1.584893192461116e-07,0.5024643453328878
1.995262314968882e-07,0.502462292505212
2.511886431509584e-07,0.5024597467260602
3.162277660168384e-07,0.5024566245847346
3.981071705534979e-07,0.5024528184196521
5.011872336272731e-07,0.5024482113231568
6.309573444801943e-07,0.5024426813670875
7.943282347242829e-07,0.5024361080605437
1.000000000000002e-06,0.5024283810169939
1.25892541179417e-06,0.5024194102837898
1.584893192461117e-06,0.5024091371446231
1.995262314968884e-06,0.502397543638282
2.511886431509586e-06,0.5023846588144024
3.162277660168386e-06,0.5023705600928015
3.981071705534982e-06,0.5023553690279813
5.011872336272735e-06,0.5023392420417673
6.309573444801948e-06,0.5023223578198671
7.943282347242835e-06,0.5023049036583103
1.000000000000003e-05,0.5022870629374376
1.258925411794171e-05,0.5022690052477026
1.584893192461118e-05,0.5022508798242523
1.995262314968885e-05,0.5022328121822139
2.511886431509587e-05,0.5022149033565442
3.162277660168388e-05,0.5021972309590239
3.981071705534984e-05,0.5021798512938166
5.011872336272738e-05,0.5021628019194412
6.309573444801952e-05,0.5021461042251512
7.943282347242841e-05,0.5021297657535311
0.0001,0.5021137821280387
0.0001258925411794,0.5020981385321559
0.0001584893192461,0.5020828107433458
0.0001995262314968,0.5020677657599629
0.0002511886431509,0.5020529620819367
0.0003162277660168,0.5020383497234737
0.0003981071705534,0.5020238700515638
0.0005011872336272,0.5020094555558073
0.0006309573444801,0.5019950296534219
0.0007943282347242,0.5019805065983433
0.001,0.5019657914680068
0.0012589254117941,0.5019507800260815
0.0015848931924611,0.501935358023917
0.0019952623149688,0.5019193992982315
0.0025118864315095,0.5019027619896833
0.0031622776601683,0.5018852824312278
0.0039810717055349,0.5018667666328172
0.0050118723362727,0.5018469795455647
0.0063095734448019,0.5018256321978544
0.0079432823472428,0.5018023663776445
0.01,0.5017767360026435
0.0125892541179417,0.5017481838621908
0.0158489319246112,0.5017160120685275
0.0199526231496888,0.5016793442418557
0.0251188643150959,0.5016370770709169
0.0316227766016839,0.5015878183655809
0.0398107170553499,0.5015298080110486
0.0501187233627274,0.501460817329959
0.0630957344480196,0.5013780212642557
0.0794328234724285,0.5012778365315471
0.1,0.5011557175203077
0.0794328234724285,0.5012778372113725
0.0630957344480196,0.5013780219843803
0.0501187233627274,0.5014608181009127
0.0398107170553499,0.5015298088434808
0.0316227766016839,0.501587819269711
0.0251188643150959,0.50163707805651
0.0199526231496888,0.5016793453181524
0.0158489319246112,0.5017160132439492
0.0125892541179417,0.5017481851437772
0.01,0.5017767373954853
0.0079432823472428,0.501802367884796
0.0063095734448019,0.5018256338214532
0.0050118723362727,0.5018469812897801
0.0039810717055349,0.5018667685085332
0.0031622776601683,0.5018852844608971
0.0025118864315095,0.501902764209651
0.0019952623149688,0.5019194017562201
0.0015848931924611,0.5019353607718208
0.0012589254117941,0.501950783110907
0.001,0.501965794924481
0.0007943282347242,0.5019805104452095
0.0006309573444801,0.5019950338933346
0.0005011872336272,0.5020094601774538
0.0003981071705534,0.5020238750324549
0.0003162277660168,0.5020383550323171
0.0002511886431509,0.5020529676800877
0.0001995262314968,0.502067771601817
0.0001584893192461,0.5020828167757998
0.0001258925411794,0.5020981446933345
0.0001,0.5021137883455493
7.943282347242841e-05,0.5021297719425832
6.309573444801952e-05,0.502146110287003
5.011872336272738e-05,0.502162807740807
3.981071705534984e-05,0.5021798567481051
3.162277660168388e-05,0.502197235910473
2.511886431509587e-05,0.5022149076683259
1.995262314968885e-05,0.5022328157292701
1.584893192461118e-05,0.502250882510632
1.258925411794171e-05,0.5022690070263746
1.000000000000003e-05,0.5022870638282141
7.943282347242835e-06,0.5023049037574611
6.309573444801948e-06,0.5023223572949033
5.011872336272735e-06,0.5023392411082376
3.981071705534982e-06,0.5023553679119307
3.162277660168386e-06,0.502370558989849
2.511886431509586e-06,0.5023846578594514
1.995262314968884e-06,0.5023975428955846
1.584893192461117e-06,0.5024091366183384
1.25892541179417e-06,0.5024194099405058
1.000000000000002e-06,0.5024283808090628
7.943282347242829e-07,0.5024361079426239
6.309573444801943e-07,0.5024426813039795
5.011872336272731e-07,0.5024482112910402
3.981071705534979e-07,0.5024528184039997
3.162277660168384e-07,0.5024566245773794
2.511886431509584e-07,0.5024597467227088
1.995262314968882e-07,0.5024622925037009
1.584893192461116e-07,0.5024643580388231
1.258925411794169e-07,0.5024660143960821
1.000000000000001e-07,0.5024673629043821
7.943282347242826e-08,0.5024684454666173
6.30957344480194e-08,0.5024693125671792
5.0118723362727296e-08,0.5024700059236439
3.9810717055349776e-08,0.5024705596044371
3.1622776601683825e-08,0.5024710012712711
2.511886431509582e-08,0.5024713532824853
