IL,ITOT,VOUT,VDROP
5e-05,+3.192945E-04,1.99122844,1.95585844
0.0001,+3.687392E-04,1.99119512,1.93954677
0.0003,+5.651239E-04,1.99114986,1.87459833
0.0005,+7.612339E-04,1.99113741,1.80966618
0.001,+1.252925E-03,1.99109784,1.64711449
0.002,+2.236518E-03,1.99106179,1.3221783
0.003,+3.219477E-03,1.99103159,0.997443442
0.004,+4.202859E-03,1.99104949,0.672498892
0.005,+5.186462E-03,1.99109088,0.347545032
0.006,+6.171674E-03,1.99110786,0.0220367917
0.007,+7.152953E-03,1.99106042,-0.302144925
0.008,+8.135858E-03,1.99110879,-0.626940537
0.009,+9.119334E-03,1.99114439,-0.951809621
0.01,+1.010273E-02,1.99113708,-1.27666071
