IL,ITOT,VOUT,VDROP
0.0001,+3.183594E-03,1.19545614,0.561356166
0.0003,+3.373324E-03,1.19557068,0.509200476
0.0005,+3.569335E-03,1.19539297,0.45709273
0.001,+4.063100E-03,1.19565011,0.326751819
0.002,+5.054344E-03,1.19544286,0.0653728088
0.003,+6.042166E-03,1.19546235,-0.195098447
0.004,+7.027725E-03,1.19521603,-0.454909644
0.005,+8.015593E-03,1.19548832,-0.715534872
0.006,+9.003640E-03,1.19563112,-0.976082476
0.007,+9.991590E-03,1.19549543,-1.23669075
0.008,+1.049987E-02,1.19421416,-1.49708097
0.009,+1.049986E-02,1.03664398,-1.75771677
0.01,+1.049986E-02,0.817331718,-2.01836953
