IL,ITOT,VOUT,VDROP,VISET
0.0001,+8.327882E-04,0.905841637,0.864239003,0.8770680882352941
0.0003,+1.051395E-03,0.904617755,0.811585863,0.8242080882352941
0.0005,+1.262293E-03,0.903769643,0.75891153,0.7713480882352941
0.001,+1.792113E-03,0.902678369,0.627351843,0.6391980882352941
0.002,+2.809221E-03,0.901362024,0.364142086,0.37489808823529414
0.003,+3.810874E-03,0.901340276,0.100333437,0.11059808823529416
0.004,+4.812677E-03,0.90096019,-0.162685392,-0.15370191176470593
0.005,+5.805847E-03,0.900858858,-0.425026565,-0.4180019117647059
0.006,+6.801088E-03,0.90094307,-0.688240442,-0.6823019117647059
0.007,+7.792710E-03,0.900945631,-0.951064418,-0.9466019117647059
0.008,+8.785746E-03,0.901072924,-1.2141918,-1.2109019117647062
0.009,+9.779145E-03,0.900881926,-1.47731896,-1.4752019117647057
0.01,+1.049987E-02,0.899939172,-1.74050154,-1.7395019117647061
